id,name,chembl_id,mechanism
DB00011,Interferon alfa-n1,CHEMBL2108509,"Interferon alpha binds to type I interferon receptors (IFNAR1 and IFNAR2c) which, upon dimerization, activate two Jak (Janus kinase) tyrosine kinases (Jak1 and Tyk2). These transphosphorylate themselves and phosphorylate the receptors. The phosphorylated INFAR receptors then bind to Stat1 and Stat2 (signal transducers and activators of transcription)which dimerize and activate multiple (~100) immunomodulatory and antiviral proteins. Interferon alpha binds less stably to type I interferon receptors than interferon beta."
DB00012,Darbepoetin alfa,CHEMBL1201566,"Darbepoetin alfa stimulates erythropoiesis by the same mechanism as endogenous erythropoietin. Erythropoietin interacts with
progenitor stem cells to increase red cell production. Binding of erythropoietin to the erythropoietin receptor leads to receptor dimerization, which facilitates activation of JAK-STAT signaling pathways within the cytosol. Activated STAT (signal transducers and activators of transcription) proteins are then translocated to the nucleus where they serve as transcription factors which regulate the activation of specific genes involved in cell division or differentiation."
DB00013,Urokinase,CHEMBL1201420,Urokinase acts on the endogenous fibrinolytic system. It cleaves the Arg-Val bond in plasminogen to produce active plasmin. Plasmin degrades fibrin clots as well as fibrinogen and other plasma proteins.
DB00014,Goserelin,CHEMBL1201247,Goserelin is a synthetic decapeptide analogue of LHRH. Goserelin acts as a potent inhibitor of pituitary gonadotropin secretion when administered in the biodegradable formulation. The result is sustained suppression of LH and serum testosterone levels.
DB00015,Reteplase,CHEMBL2107885,"Reteplase binds to fibrin rich clots via the fibronectin finger-like domain and the Kringle 2 domain. The protease domain then cleaves the Arg/Val bond in plasminogen to form plasmin. Plasmin in turn degrades the fibrin matrix of the thrombus, thereby exerting its thrombolytic action. "
DB00016,Erythropoietin,CHEMBL1201565,"Binding of erythropoietin to the erythropoietin receptor leads to receptor dimerization, which facilitates activation of JAK-STAT signaling pathways within the cytosol. Activated STAT (signal transducers and activators of transcription) proteins are then translocated to the nucleus where they serve as transcription factors which regulate the activation of specific genes involved in cell division or differentiation."
DB00017,Salmon Calcitonin,,"Calcitonin binds to the calcitonin receptor (found primarily in osteoclasts) which then enhances the production of vitamin D producing enzymes (25-hydroxyvitamine D-24-hydroxylase), leading to greater calcium retention and enhanced bone density. Binding of calcitonin to its receptor also activates adenylyl cyclase and the phosphatidyl-inositol-calcium pathway."
DB00018,Interferon alfa-n3,CHEMBL2109047,"Interferon alpha binds to type I interferon receptors (IFNAR1 and IFNAR2c) which, upon dimerization, activate two Jak (Janus kinase) tyrosine kinases (Jak1 and Tyk2). These transphosphorylate themselves and phosphorylate the receptors. The phosphorylated INFAR receptors then bind to Stat1 and Stat2 (signal transducers and activators of transcription) which dimerize and activate multiple (~100) immunomodulatory and antiviral proteins. Interferon alpha binds less stably to type I interferon receptors than interferon beta."
DB00019,Pegfilgrastim,CHEMBL1201568,"Pegfilgrastim binds to the G-CSF receptor. As a G-CSF analog, it controls proliferation of committed progenitor cells and influences their maturation into mature neutrophils. Pegfilgrastim also stimulates the release of neutrophils from bone marrow storage pools and reduces their maturation time. Pegfilgrastim acts to increase the phagocytic activity of mature neutrophils. In patients receiving cytotoxic chemotherapy, pegfilgrastim can accelerate neutrophil recovery, leading to a reduction in duration of the neutropenic phase."
DB00020,Sargramostim,CHEMBL1201670,Sargramostim binds to the Granulocyte-macrophage colony stimulating factor receptor (GM-CSF-R-alpha or CSF2R) which stimulates a JAK2 STAT1/STAT3 signal transduction pathway. This leads to the production of hemopoietic cells and neutrophils
DB00021,Secretin,CHEMBL2103754,"Secretin binds to the secretin receptor found on the lining of S cells in the duodenum and G cells in the stomach. Binding leads to the secrection of bicarbonate or the reduction of the secretion of gastrin. Properly functioning organs (duodenum, pancreas and stomach) should be responsive to this hormone"
DB00022,Peginterferon alfa-2b,CHEMBL1201561,Peginterferon alfa-2b is derived from recombinant human interferon's alfa-2b moeity [FDA Label]. It binds to and activates human type 1 interferon receptors causing them to dimerize. This activates the JAK/STAT pathway. Activation of the JAK/STAT pathway increases expression of multiple genes in multiple tissues involved in the innate antiviral response. Peginterferon alfa-2b may also acitvate the nuclear factor κB pathway.
DB00023,Asparaginase,CHEMBL2108989,Asparaginase converts asparagine to aspartic acid and ammonia. It facilitates production of oxaloacetate which is needed for general cellular metabolism. Some malignant cells lose the ability to produce asparagine and so the loss of exogenous sources of asparagine leads to cell death.
DB00024,Thyrotropin Alfa,CHEMBL1201533,Thyrotropin Alfa binds to the thyrotropin receptors found on any residual thyroid cells or tissues. This stimulates radioactive iodine uptake for better radiodiagnostic imaging.
DB00025,"Antihemophilic factor, human recombinant",CHEMBL2108175,Antihemophilic factor (AHF) is a protein found in normal plasma which is necessary for clot formation. The administration of AHF provides an increase in plasma levels of AHF and can temporarily correct the coagulation defect of patients with hemophilia A (classical hemophilia).
DB00026,Anakinra,CHEMBL1201570,"Anakinra binds competitively to the Interleukin-1 type I receptor (IL-1RI), thereby inhibiting the action of elevated levels IL-1 which normally can lead to cartilage degradation and bone resorption."
DB00027,Gramicidin D,CHEMBL557217,"Gramicidin D binds to and inserts itself into bacterial membranes (with a strong preference to gram-positive cell membranes). This results in membrane disruption and permeabilization (it acts as a channel). This leads to (i) loss of intracellular solutes (e.g., K+ and amino acids); (ii) dissipation of the transmembrane potential; (iii) inhibition of respiration; (iv) a reduction in ATP pools; and (v) inhibition of DNA, RNA, and protein synthesis, which leads to cell death."
DB00028,Immune Globulin Human,,"IVIg interacts with a number of different components of the immune system, including cytokines, complement, Fc receptors and several cell surface immunocompetent molecules. IVIg also impacts different effector cells of the immune system (B and T lymphocytes, dendritic cells, etc.) and regulates a wide range of genes. Its main mechanism of actions are believed to be Fc-dependent and F(ab')2-dependent. IVIg competitively blocks gamma Fc receptors, preventing the binding and ingestion of phagocytes and suppressing platelet depletion. IVIg contains a number of different antobodies, which prevent infection by attaching to the surface of invading pathogens and aiding in their disposal before they can infect cells. Antibodies remove pathogens via complement activation, agglutination or precipitation, pathogen receptor blocking, macrophage “tagging” or neutralization (via binding) of pathogen toxins. Intact IVIg and F(ab′)2 fragments of IVIg can also neutralize the activity of various autoantibodies. By triggering the production of interleukin-1 receptor antagonist, IVIg modulates of the production of cytokines and cytokine antagonists. It also prevents the generation of the C5b-9 membrane attack complex and subsequent complement-mediated tissue damage by binding active complement components."
DB00029,Anistreplase,CHEMBL2108250,Anistreplase cleaves the Arg/Val bond in plasminogen to form plasmin. This in turn leads to the degradation of blood clots.
DB00030,Insulin Human,,"The primary activity of insulin is the regulation of glucose metabolism. Insulin promotes glucose and amino acid uptake into muscle and adipose tissues, and other tissues except brain and liver. It also has an anabolic role in stimulating glycogen, fatty acid, and protein synthesis. Insulin inhibits gluconeogenesis in the liver.
Insulin binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor is able to autophosphorylate and phosphorylate numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. These activated proteins, in turn, lead to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC) which play a critical role in metabolism and catabolism."
DB00031,Tenecteplase,CHEMBL2108791,"Tenecteplase binds to fibrin rich clots via the fibronectin finger-like domain and the Kringle 2 domain. The protease domain then cleaves the Arg/Val bond in plasminogen to form plasmin. Plasmin in turn degrades the fibrin matrix of the thrombus, thereby exerting its thrombolytic action. "
DB00032,Menotropins,CHEMBL2108427,"Being a combination drug, Menotropins bind to the follicle stimulating hormone receptor (FSH), which results in ovulation in the absence of sufficient endogenous luteinizing hormone (LH). It also binds the LH receptor, thereby stimulating proper hormone release. The drug contains both FSH and LH, therefore, it induces ovarian follicular growth and development as well as gonadal steroid production in women who do not have ovarian failure. FSH is the primary driver of follicular recruitment and growth in early folliculogenesis, while LH is important for ovarian steroidogenesis and is involved in the physiological events leading to development of a competent pre-ovulatory follicle."
DB00033,Interferon gamma-1b,CHEMBL1201564,"Binds directly to the type II interferon gamma receptor IFNGR1, leading to a complex of IFNGR1 and IFNGR2. This activates JAK1 and JAK2 kinases which form a STAT1 docking site. This leads to STAT1 phosphorylation, nuclear translocation and initiation of gene transcription of multiple immune-related genes."
DB00034,"Interferon Alfa-2a, Recombinant",,"Interferon alpha binds to type I interferon receptors (IFNAR1 and IFNAR2c) which, upon dimerization, activate two Jak (Janus kinase) tyrosine kinases (Jak1 and Tyk2). These transphosphorylate themselves and phosphorylate the receptors. The phosphorylated INFAR receptors then bind to Stat1 and Stat2 (signal transducers and activators of transcription)which dimerize and activate multiple (~100) immunomodulatory and antiviral proteins. Interferon alpha binds less stably to type I interferon receptors than interferon beta."
DB00035,Desmopressin,CHEMBL376685,"Desmopressin emulates the actions of endogenous human ADH (refer to Pharmacology section above). Desmpressin is a structural analogue of ADH modified by  deamination of 1-cysteine and substitution of 8-L-arginine by 8-D-arginine. Compared to natural ADH, desmopressin elicits a great antidiuretic response on weight basis. "
DB00036,Coagulation factor VIIa Recombinant Human,,"NovoSeven activates the coagulation or clotting cascade by cleaving Factor IX and Factor X, which activates them and then leads to activation of thrombin and fibrin."
DB00038,Oprelvekin,CHEMBL1201573,Oprelvekin binds to the interleukin 11 receptor which leads to a cascade of signal transduction events. IL-11 is a thrombopoietic growth factor that directly stimulates the proliferation of hematopoietic stem cells and megakaryocyte progenitor cells and induces megakaryocyte maturation resulting in increased platelet production.
DB00039,Palifermin,CHEMBL1201821,Kepivance binds to the human keratinocyte growth factor (KGF) receptor found on buccal cell surfaces. The binding activates a Ras-MapK (Map kinase) signaling pathway which leads to the transcriptional activation of many proteins important for cell growth and survival.
DB00040,Glucagon recombinant,CHEMBL266481,"Glucagon binds the glucagon receptor, a G protein-coupled receptor located in the plasma membrane, which then initiates a dual signaling pathway using both adenylate cyclase activation and increased intracellular calcium. Adenylate cyclase manufactures cAMP (cyclic AMP), which activates protein kinase A (cAMP-dependent protein kinase). This enzyme, in turn, activates phosphorylase kinase, which, in turn, phosphorylates glycogen phosphorylase, converting into the active form called phosphorylase A. Phosphorylase A is the enzyme responsible for the release of glucose-1-phosphate from glycogen polymers. This yields glucose molecules to be released into the blood. Glucagon receptors are found in the liver, kidney, brain and pancreatic islet cells. The glucagon mediated signals lead to an increase in insulin excretion"
DB00041,Aldesleukin,CHEMBL1201438,"Aldesleukin binds to the IL-2 receptor which leads to heterodimerization of the cytoplasmic domains of the IL-2R beta and gamma(c) chains, activation of the tyrosine kinase Jak3, and phosphorylation of tyrosine residues on the IL-2R beta chain. These events led to the creation of an activated receptor complex, to which various cytoplasmic signaling molecules are recruited and become substrates for regulatory enzymes (especially tyrosine kinases) that are associated with the receptor. These events stimulate growth and differentiation of T cells."
DB00042,Botulinum Toxin Type B,CHEMBL1201569,"Botulinum Toxin Type B binds to and cleaves the synaptic Vesicle Associated Membrane Protein (VAMP, also known as synaptobrevin) which is a component of the protein complex responsible for docking and fusion of the synaptic vesicle to the presynaptic membrane, a necessary step to neurotransmitter release."
DB00043,Omalizumab,CHEMBL1201589,"Xolair binds to IgE (a class of antibodies normally secreted in allergic responses), which prevents their binding to mast cells and basophils."
DB00044,Lutropin alfa,CHEMBL1201419,Luteinizing hormone binds to a receptor shared with the human chorionic gonadotropin hormone (hCG) on the ovarian theca (and granulosa) cells and testicular Leydig cells. This LH/CG transmembrane receptor is a member of the super-family of G protein-coupled receptors. Adenylate cyclase then activates many other pathways leading to steroid hormone production and other follicle maturation processes. 
DB00045,Lyme disease vaccine (recombinant OspA),,"OspA lipoprotein, an outer surface protein of the bacteria Borrelia burgdorferi sensu stricto ZS7, is used to stimulate the production of specific antibodies against B. burgdorferi. It is used as a vaccination against Lyme Disease, a disease carried by ticks."
DB00046,Insulin Lispro,CHEMBL1201538,"Insulin lispro binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor autophosphorylates and phosphorylates numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. Activation of these proteins leads to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC), both of which play critical roles in metabolism and catabolism. In humans, insulin is stored in the form of hexamers; however, only insulin monomers are able to interact with IR. Reversal of the proline and lysine residues at positions B28 and B29 of native insulin eliminates hydrophobic interactions and weakens some of the hydrogen bonds that contribute to the stability of the insulin dimers that comprise insulin hexamers. Hexamers of insulin lispro are produced in the presence of zinc and <i>m</i>-cresol. These weakly associated hexamers quickly dissociate upon subcutaneous injection and are absorbed as monomers through vascular endothelial cells. These properties give insulin lispro its fast-acting properties. "
DB00047,Insulin Glargine,CHEMBL1201497,"Insulin glargine binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor autophosphorylates and phosphorylates numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. Activation of these proteins leads to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC), both of which play critical roles in metabolism. Insulin glargine is completely soluble at pH 4, the pH of administered solution, and has low solubility at physiological pH 7.4. Upon subcuteous injection, the solution is neutralized resulting in the formation of microprecipitates. Small amounts of insulin glargine are released from microprecipitates giving the drug a relatively constant concentration over time profile over 24 hours with no pronounced peak. This release mechanism allows the drug to mimic basal insulin levels within the body. "
DB00048,Collagenase clostridium histolyticum,,"Collagenase is a protease that is specific to collagen. The triple helical region of interstitial collagens is highly resistant to most cell proteinases. However, during remodeling of the connective tissue in such processes as wound healing and metastasis, collagen becomes susceptible to cleavage by collagenases. Collagenase cleaves all 3 alpha helical chains of native Types I, II and III collagens at a single locus by hydrolyzing the peptide bond following the Gly residue of the sequence: Gly 775-(Ile or Leu) 776-(Ala or Leu) 777 located approximately three-fourths of the chain length from each N-terminus"
DB00049,Rasburicase,CHEMBL1201594,Rasburicase catalyzes enzymatic oxidation of uric acid into an inactive and soluble metabolite (allantoin).
DB00050,Cetrorelix,CHEMBL1200490,Cetrorelix binds to the gonadotropin releasing hormone receptor and acts as a potent inhibitor of gonadotropin secretion. It competes with natural GnRH for binding to membrane receptors on pituitary cells and thus controls the release of LH and FSH in a dose-dependent manner.
DB00051,Adalimumab,CHEMBL1201580,Adalimumab binds to TNF-alpha and blocks its interaction with the p55 and p75 cell surface TNF receptors. Adalimumab also lyses surface TNF expressing cells in vitro in the presence of complement.
DB00052,Somatotropin,CHEMBL1201621,"hGH binds to the human growth hormone receptor (GHR). Upon binding, hGH causes dimerization of GHR, activation of the GHR-associated JAK2 tyrosine kinase, and tyrosyl phosphorylation of both JAK2 and GHR. These events recruit and/or activate a variety of signaling molecules, including MAP kinases, insulin receptor substrates, phosphatidylinositol 3' phosphate kinase, diacylglycerol, protein kinase C, intracellular calcium, and Stat transcription factors. These signaling molecules contribute to the GH-induced changes in enzymatic activity, transport function, and gene expression that ultimately culminate in changes in growth and metabolism."
DB00053,Imiglucerase,CHEMBL1201632,"Imiglucerase catalyzes the hydrolysis of the glycolipid, glucocerebroside, to glucose and ceramide as part of the normal degradation pathway for membrane lipids."
DB00054,Abciximab,CHEMBL1201584,"Abciximab binds to the intact platelet GPIIb/IIIa receptor, which is a member of the integrin family of adhesion receptors and the major platelet surface receptor involved in platelet aggregation. This binding is thought to involve steric hindrance and/or conformational alterations which block access of large molecules to the receptor rather than direct interaction with the RGD (arginine-glycine-aspartic acid) binding site of GPIIb/IIIa. By binding to the vitronectin receptor (also known as the αvβ3 integrin), abciximab blocks effects mediated by this integrin which include cell adhesion. Furthermore, abciximab blocks Mac-1 receptor on monocytes and neutrophils thus inhibiting monocyte adhesion."
DB00055,Drotrecogin alfa,,"Activated protein C combines with protein S on platelet surfaces and then degrades factor Va and factor VIIIa, thereby reducing blood coagulability."
DB00056,Gemtuzumab ozogamicin,CHEMBL1201506,"Mylotarg is directed against the CD33 antigen expressed by hematopoietic cells. Binding of the anti-CD33 antibody portion of Mylotarg with the CD33 antigen results in the formation of a complex that is internalized. Upon internalization, the calicheamicin derivative is released inside the lysosomes of the myeloid cell. The released calicheamicin derivative binds to DNA in the minor groove resulting in site-specific DNA double strand breaks via formation of a p-benzene diradical [A20377]. Eventually, cell death is induced."
DB00057,Indium In-111 satumomab pendetide,CHEMBL1743091,"Satumomab Pendetide is a monoclonal antibody which is attached to the chelator pentetic acid (DTPA) linked to the tripeptide  glycine  (G) – L-tyrosine (Y) – L-lysine (K), which chelates Indium 111. Satumomab pendetide binds selectively to cell-surface TAG-72 expressed on colorectal tumors. "
DB00058,Alpha-1-proteinase inhibitor,,"Alpha-1 proteinase inhibitor is a serine protease inhibitor (Serpin). Its primary mechanism is inhibiting the action of the serine protease called elastase (also plasmin and thrombin) in the lungs. The reactive center loop (RCL) of alpha-1 proteinase inhibitor extends out from the body of the protein and directs binding to the target protease. The protease cleaves the serpin at the reactive site, establishing a covalent linkage between the carboxyl group of the serpin reactive site and the serine hydroxyl of the protease. The resulting inactive serpin-protease complex is highly stable."
DB00059,Pegaspargase,CHEMBL2108546,"Pegaspargase, more effective than asparaginase, converts asparagine to aspartic acid and ammonia. It facilitates production of oxaloacetate which is needed for general cellular metabolism. Some malignant cells lose the ability to produce asparagine and so the loss of exogenous sources of asparagine leads to cell death."
DB00060,Interferon beta-1a,CHEMBL1201562,"Interferon beta binds to type I interferon receptors (IFNAR1 and IFNAR2c) which, upon dimerization, activate two Jak (Janus kinase) tyrosine kinases (Jak1 and Tyk2). These transphosphorylate themselves and phosphorylate the receptors. The phosphorylated INFAR receptors then bind to Stat1 and Stat2 (signal transducers and activators of transcription) which dimerize and activate multiple (~100) immunomodulatory and antiviral proteins. Interferon beta binds more stably to type I interferon receptors than interferon alpha."
DB00061,Pegademase bovine,CHEMBL1201514,Pegademase converts adenosine (toxic) to inosine (less toxic) by deamination. It also converts 2'-deoxyadenosine to 2'-deoxyinosine via deamination.
DB00062,Human Serum Albumin,CHEMBL1201451,"Serum albumin acts as a high molecular weight, very soluble osmolyte. Serum albumin also acts as a protein drug carrier in plasma, and transports hemin, steroids, thyroid hormones and fatty acids. It binds many other substances, such as unconjugated bilirubin, calcium ions, and other fat soluble hormones. "
DB00063,Eptifibatide,CHEMBL1174,"Eptifibatide inhibits platelet aggregation by reversibly binding to the platelet receptor glycoprotein (GP) IIb/IIIa of human platelets, thus preventing the binding of fibrinogen, von Willebrand factor, and other adhesive ligands. Inhibition of platelet aggregation occurs in a dose- and concentration-dependent manner."
DB00065,Infliximab,CHEMBL1201581,"Infliximab neutralizes the biological activity of TNFa by binding with high affinity to the soluble and transmembrane forms of TNFa and inhibits binding of TNFa with its receptors. Infliximab does not neutralize TNFb (lymphotoxin a), a related cytokine that utilizes the same receptors as TNFa. TNFa activation normally induces the release of proinflammatory cytokines, the enhancement of leukocyte migration and activation of neutrophils among others. Neutralization of the biological activity of TNFa leads to an overall reduction in inflammation."
DB00066,Follitropin,CHEMBL1201692,"Follitropin is a recombinant form of endogenous follicle stimulating hormone (FSH). FSH binds to the follicle stimulating hormone receptor which is a G-coupled transmembrane receptor. Binding of the FSH to its receptor seems to induce phosphorylation and activation of the PI3K (Phosphatidylinositol-3-kinase) and Akt signaling pathway, which is known to regulate many other metabolic and related survival/maturation functions in cells."
DB00067,Vasopressin,CHEMBL373742,"Vasopressin acts on three different receptors, vasopressin receptor V1a (which initiates vasoconstriction, liver gluconeogenesis, platelet aggregation and release of factor VIII), vasopressin receptor V1b (which mediates corticotrophin secretion from the pituitary) and vasopressin receptor V2 which controls free water reabsorption in the renal medullar. The binding of vasopressin to the V2 receptor activates adenylate cyclase which causes the release of aquaporin 2 channels into the cells lining the renal medullar duct. This allows water to be reabsorbed down an osmotic gradient so the urine is more concentrated."
DB00068,Interferon beta-1b,CHEMBL1201563,Interferon beta binds to type I interferon receptors (IFNAR1 and IFNAR2c) which activate two Jak (Janus kinase) tyrosine kinases (Jak1 and Tyk2). These transphosphorylate themselves and phosphorylate the receptors. The phosphorylated INFAR receptors then bind to Stat1 and Stat2 (signal transducers and activators of transcription)which dimerize and activate multiple (~100) immunomodulatory and antiviral proteins. Interferon beta binds more stably to type I interferon receptors than interferon alpha.
DB00069,Interferon alfacon-1,CHEMBL1201557,"Interferon alpha binds to type I interferon receptors (IFNAR1 and IFNAR2c) which, upon dimerization, activate two Jak (Janus kinase) tyrosine kinases (Jak1 and Tyk2). These transphosphorylate themselves and phosphorylate the receptors. The phosphorylated INFAR receptors then bind to Stat1 and Stat2 (signal transducers and activators of transcription) which dimerize and activate multiple (~100) immunomodulatory and antiviral proteins. Interferon alpha binds less stably to type I interferon receptors than interferon beta. The resulting actions include gene transcription, inhibition of cellular growth, alteration of the state of cellular differentiation, interference with oncogene expression, alteration of cell surface antigen expression, increasing phagocytic activity of macrophages, and augmentation of the cytotoxicity of lymphocytes for target cells."
DB00070,Hyaluronidase,CHEMBL1201636,"Hyaluronidase is a spreading or diffusing substance. It increase the permeability of connective tissue through the hydrolysis of hyaluronic acid. Hyaluronidase hydrolyzes hyaluronic acid by splitting the glucosaminidic bond between C1 of the glucosamine moiety and C4 of glucuronic acid. This temporarily decreases the viscosity of the cellular cement and increases diffusion of injected fluids or of localized transudates or exudates, thus facilitating their absorption."
DB00071,Insulin Pork,,"Insulin binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor is able to autophosphorylate and phosphorylate numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. These activated proteins, in turn, lead to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC) which play a critical role in metabolism."
DB00072,Trastuzumab,CHEMBL1201585,"Trastuzumab binds to the HER2 (or c-erbB2) proto-oncogene, an EGF receptor-like protein found on 20-30% of breast cancer cells. The binding leads to antibody mediated (complement mediated) killing of the HER2 positive cells."
DB00073,Rituximab,CHEMBL1201576,"The Fab regions of rituximab binds to the CD20 antigen on B lymphocytes, while the Fc domain recruits antibodies and complements to mediate cell lysis."
DB00074,Basiliximab,CHEMBL1201439,"Basiliximab binds with high-affinity to the alpha-subunit (CD25) of the high-affinity IL-2 receptor. This inhibits IL-2 binding, which inhibits T-cell activation and prevents the body from mounting an immune response against the foreign kidney."
DB00075,Muromonab,CHEMBL1201608,"Muromonab binds to the T-cell surface glycoprotein CD3 epsilon chain. It appears to kill CD-3 positive cells by inducing Fc mediated apoptosis, antibody mediated cytotoxicity and complement-dependent cytotoxicity."
DB00076,Digoxin Immune Fab (Ovine),,Binds excess digoxin or digitoxin molecules circulating in the blood.
DB00078,Ibritumomab tiuxetan,,"The Fab segment of the antibody targets the CD20 epitope on B-cells, allowing the radioactive yttrium to destroy the cell via production of beta particles."
DB00080,Daptomycin,CHEMBL387675,"Daptomycin appears to bind or insert into the outer membrane of gram positive bacteria. The binding and integration of daptomycin into the cell membrane is calcium dependent. Calcium ions cause a conformational change in daptomycin, augmenting its amphipathicity (hydrophilic head group and hydrophobic tail group), leading to incorporation into the cell membrane.
This binding causes rapid depolarisation, resulting in a loss of membrane potential leading to inhibition of protein, DNA and RNA synthesis, which results in bacterial cell death. The bactericidal activity of daptomycin is concentration-dependent. There is in vitro evidence of synergy with β-lactam antibiotics.
"
DB00081,Tositumomab,CHEMBL1201604,"Binds to the CD20 antigen which is found on mature B lymphocytes. The antibody binding appears to induce apoptosis, complement-dependent cytotoxicity and cell death through ionizing radiation."
DB00082,Pegvisomant,CHEMBL1201515,"Somavert selectively binds to growth hormone (GH) receptors on cell surfaces, where it blocks the binding of endogenous GH. This leads to the normalization of serum IGF-1 levels."
DB00083,Botulinum Toxin Type A,,"Botulinum Toxin Type A blocks neuromuscular transmission by binding to acceptor sites on motor or sympathetic nerve terminals, entering the nerve terminals, and inhibiting the release of acetylcholine. This inhibition occurs as the neurotoxin cleaves SNAP-25, a protein integral to the successful docking and release of acetylcholine from vesicles situated within nerve endings."
DB00085,Pancrelipase,CHEMBL2108074,"The lipase, protease and amylase components of pancrelipase break down fat, protein, and starches, respectively, in the small intestine. Lipase hydrolyzes fats into glycerol and fatty acids. Protease converts proteins into proteoses and derived substances, while amylase converts starches into dextrins and sugars."
