hgnc_id	approved_symbol	approved_name	synonyms	accession_numbers	entrez_gene_id	ensembl_gene_id	refseq_ids
HGNC:10064	TRIM3	tripartite motif containing 3	HAC1, BERP, RNF97	AF045239	10612	ENSG00000110171	NM_006458
HGNC:10065	TRIM39	tripartite motif containing 39		BC034985	56658	ENSG00000204599	NM_172016
HGNC:10066	PCGF3	polycomb group ring finger 3	FLJ36550, DONG1, RNF3A, MGC40413	AK093869	10336	ENSG00000185619	NM_006315
HGNC:10067	RNF4	ring finger protein 4	RES4-26, SNURF, SLX5	U95140	6047	ENSG00000063978	NM_002938
HGNC:10068	RNF5	ring finger protein 5	NG2, G16, RING5, RMA1	U89336	6048	ENSG00000204308	NM_006913
HGNC:10069	RNF6	ring finger protein 6	DKFZp686P0776	AJ010346	6049	ENSG00000127870	NM_005977
HGNC:1007	NBEAP1	neurobeachin pseudogene 1	BCL8A		606	ENSG00000258590	NR_027992
HGNC:10070	RNF7	ring finger protein 7	SAG, ROC2, CKBBP1	AF092878	9616	ENSG00000114125	NM_014245
HGNC:10071	RNF8	ring finger protein 8	KIAA0646	AB012770	9025	ENSG00000112130	
HGNC:10072	TRIM10	tripartite motif containing 10	RFB30, HERF1	Y07829	10107	ENSG00000204613	
HGNC:10073	RNGTT	RNA guanylyltransferase and 5'-phosphatase	HCE, HCE1, hCAP	AF025654	8732	ENSG00000111880	NM_003800
HGNC:10074	RNH1	ribonuclease/angiogenin inhibitor 1	RAI		6050	ENSG00000023191	NM_203389
HGNC:10075	RNMT	RNA guanine-7 methyltransferase	RG7MT1	AF067791	8731	ENSG00000101654	NM_003799
HGNC:10076	RNN~withdrawn	symbol withdrawn, see TRNAN1					
HGNC:10077	RNNL~withdrawn	entry withdrawn					
HGNC:10078	RNPEP	arginyl aminopeptidase	APB	BC001064	6051	ENSG00000176393	NM_020216
HGNC:10079	RNPEPL1	arginyl aminopeptidase like 1			57140	ENSG00000142327	NM_018226
HGNC:1008	BCL9	B cell CLL/lymphoma 9		Y13620	607	ENSG00000116128	NM_004326
HGNC:10080	RNPS1	RNA binding protein with serine rich domain 1		AF015608	10921	ENSG00000205937	NM_080594
HGNC:10081	RNPU1Z~withdrawn	symbol withdrawn, see SNRNP70					
HGNC:10082	RNR1	RNA, ribosomal 45S cluster 1			6052		
HGNC:10083	RNR2	RNA, ribosomal 45S cluster 2		AF305858	6053		NR_024197
HGNC:10084	RNR3	RNA, ribosomal 45S cluster 3			6054		
HGNC:10085	RNR4	RNA, ribosomal 45S cluster 4			6055		
HGNC:10086	RNR5	RNA, ribosomal 45S cluster 5		U13369	6056		
HGNC:10087	RNRP1~withdrawn	entry withdrawn					
HGNC:10088	RNRP2~withdrawn	entry withdrawn					
HGNC:10089	RNS1~withdrawn	symbol withdrawn, see RNASE1					
HGNC:1009	BCMA~withdrawn	symbol withdrawn, see TNFRSF17					
HGNC:10090	RNS2~withdrawn	symbol withdrawn, see RNASE2					
HGNC:10091	RNS3~withdrawn	symbol withdrawn, see RNASE3					
HGNC:10092	RNS4~withdrawn	symbol withdrawn, see RNASEL					
HGNC:10093	RNS4I~withdrawn	symbol withdrawn, see ABCE1					
HGNC:10094	RNS6~withdrawn	symbol withdrawn, see RNASE6					
HGNC:10095	RNU1~withdrawn	symbol withdrawn, see RNU1-1					
HGNC:10096	SNORD80	small nucleolar RNA, C/D box 80	Z15, U80	AJ224022, AF141346	26774		NR_003940
HGNC:10097	SNORD4A	small nucleolar RNA, C/D box 4A	Z17A, mgh18S-121	AJ224024	26773	ENSG00000238578	NR_000010
HGNC:10098	SNORD4B	small nucleolar RNA, C/D box 4B	Z17B	AJ224025	26772	ENSG00000238597	NR_000009
HGNC:10099	SNORD102	small nucleolar RNA, C/D box 102	U102	AY349603	26771	ENSG00000207500	NR_002574
HGNC:101	ASIC3	acid sensing ion channel subunit 3	TNaC1, DRASIC	AB010575	9311	ENSG00000213199	NM_004769
HGNC:1010	BCNG1~withdrawn	symbol withdrawn, see HCN1					
HGNC:10100	SNORD79	small nucleolar RNA, C/D box 79	Z22, U79	AJ224027, AF141346	26770		NR_003939
HGNC:10101	SNORD81	small nucleolar RNA, C/D box 81	Z23, U81	AJ224028, AF141346	26769		NR_003938
HGNC:10102	RNU105A~withdrawn	symbol withdrawn, see SNORA73B					
HGNC:10103	RNU105B	RNA, U105B small nucleolar	E1-2	U12207	26767	ENSG00000201348	NR_004386
HGNC:10104	RNU105C	RNA, U105C small nucleolar	E1-5, E1-6, U105C	U12208	26766	ENSG00000199212	NR_004385
HGNC:10105	SNORD12C	small nucleolar RNA, C/D box 12C	U106	AY349607	26765	ENSG00000209042	NR_002433
HGNC:10106	SNORA63	small nucleolar RNA, H/ACA box 63	E3, E3-2, SNORA63A	L07384	6043	ENSG00000200320	NR_002586
HGNC:10107	SNORA62	small nucleolar RNA, H/ACA box 62	E2, E2-1	L07383, L22739	6044	ENSG00000202363	NR_002324
HGNC:10108	RNU11	RNA, U11 small nuclear	U11, RNU11-1	X58716	26824	ENSG00000274978	NR_004407
HGNC:10109	RNU12-2P	RNA, U12 small nuclear 2, pseudogene	U12	L43845	26823	ENSG00000201659	NG_013273
HGNC:1011	BCNG2~withdrawn	symbol withdrawn, see HCN2					
HGNC:10110	SNORD13P1	small nucleolar RNA, C/D box 13 pseudogene 1	U13, U13.32A	X58061	6076	ENSG00000238498	
HGNC:10111	SNORD13P2	small nucleolar RNA, C/D box 13 pseudogene 2	U13, U13.12A	X58060	6077		
HGNC:10112	SNORD13P3	small nucleolar RNA, C/D box 13 pseudogene 3	U13, U13.4B	X58062	6078	ENSG00000239128	
HGNC:10113	SNORD14A	small nucleolar RNA, C/D box 14A	U14, RNU14A	D88010	26822	ENSG00000272034	NR_000022
HGNC:10114	SNORD15A	small nucleolar RNA, C/D box 15A	U15A	L15616	6079	ENSG00000206941	NR_000005
HGNC:10115	SNORA73A	small nucleolar RNA, H/ACA box 73A	U17A, E1-7, E1b, E1	S63405, L16791, L07382	6080	ENSG00000274266	NR_002907
HGNC:10116	SNORA73B	small nucleolar RNA, H/ACA box 73B	U17B, E1c	L16792	26768	ENSG00000200087	NR_004406
HGNC:10117	RNU17C~withdrawn	symbol withdrawn, see SNHG3					
HGNC:10118	SNHG3	small nucleolar RNA host gene 3	U17HG, U17HG-A, NCRNA00014	AJ006834	8420	ENSG00000242125	NR_002909.1
HGNC:10119	SNORA74A	small nucleolar RNA, H/ACA box 74A	U19	X94290	26821	ENSG00000200959	NR_002915
HGNC:1012	OPN1SW	opsin 1, short wave sensitive	BOP, CBT	U53874	611	ENSG00000128617	NM_001708
HGNC:10120	RNU1-1	RNA, U1 small nuclear 1	Rnu1a1, U1, HU1-1, U1A1, HSD1		26871	ENSG00000206652	NR_004430
HGNC:10121	RNU1A3~withdrawn	symbol withdrawn, see RNU1-1					
HGNC:10123	RNU1-2	RNA, U1 small nuclear 2	U1C1, U1C21	M28012	26870	ENSG00000207005	NR_004427
HGNC:10124	RNU1C2~withdrawn	symbol withdrawn, see RNU1-2					
HGNC:10125	RNU1D2~withdrawn	symbol withdrawn, see RNU1-4					
HGNC:10126	RNU1E2~withdrawn	symbol withdrawn, see RNU1-4					
HGNC:10127	RNU1F1~withdrawn	symbol withdrawn, see RNU1-4					
HGNC:10128	RNU1-4	RNA, U1 small nuclear 4	HSD6, U1E2, HSD2, U1D2, HSD5, U1B2, U1F, HSD7	M20034	6060	ENSG00000207389	NR_004421
HGNC:10129	RNU1G2~withdrawn	symbol withdrawn, see RNU1-4					
HGNC:1013	BCPM~withdrawn	symbol withdrawn, see ATP2C1					
HGNC:10130	RNU1-3	RNA, U1 small nuclear 3	HSD4	M20032	26869	ENSG00000207513	NR_004408
HGNC:10131	RNU1G4~withdrawn	symbol withdrawn, see RNU1-1					
HGNC:10132	RNU1P1~withdrawn	symbol withdrawn, see RNU1-5P					
HGNC:10133	RNVU1-1	RNA, variant U1 small nuclear 1	vU1.1, U1P14, U1.4, vU1.10, RNU1-53	M25188	101954273	ENSG00000207340	NR_104082
HGNC:10134	RNVU1-11	RNA, variant U1 small nuclear 11	vU1.11, U1P2A	JQ988805	6063		NG_001184
HGNC:10135	RNU1P3~withdrawn	entry withdrawn					
HGNC:10136	RNU1P4~withdrawn	entry withdrawn					
HGNC:10137	RNU1-11P	RNA, U1 small nuclear 11, pseudogene	U1P1A, RNU1P1	J00319	26861	ENSG00000206702	NG_001264
HGNC:10138	RNU1-13P	RNA, U1 small nuclear 13, pseudogene	U1P1, U1.1	M25189	26860	ENSG00000238825	NG_001263
HGNC:10139	RNU1-14P	RNA, U1 small nuclear 14, pseudogene	U1P17	M25192	26859	ENSG00000199629	NG_001262
HGNC:1014	BCR	BCR, RhoGEF and GTPase activating protein	D22S662, CML, PHL, ALL		613	ENSG00000186716	NM_004327
HGNC:10140	RNU1-15P	RNA, U1 small nuclear 15, pseudogene	U1P11	M25191	26858	ENSG00000195024	NG_001261
HGNC:10141	RNU1P9~withdrawn	symbol withdrawn, see RNU1-5P					
HGNC:10142	RNU2-1	RNA, U2 small nuclear 1	U2	U57614	6066		NR_002716
HGNC:10143	SNORD20	small nucleolar RNA, C/D box 20	U20	Z34290	6082	ENSG00000207280	NR_002908
HGNC:10144	SNORD21	small nucleolar RNA, C/D box 21	U21	Z35312	6083	ENSG00000206680	NR_000006
HGNC:10145	SNORD22	small nucleolar RNA, C/D box 22	U22		9304	ENSG00000277194	NR_000008
HGNC:10146	SNORD24	small nucleolar RNA, C/D box 24	U24	Z48765	26820	ENSG00000206611	NR_002447
HGNC:10147	SNORD25	small nucleolar RNA, C/D box 25	U25	AF081279	9303	ENSG00000275043	NR_002565
HGNC:10148	SNORD26	small nucleolar RNA, C/D box 26	U26		9302	ENSG00000276788	NR_002564
HGNC:10149	SNORD27	small nucleolar RNA, C/D box 27	U27		9301	ENSG00000275996	NR_002563
HGNC:1015	BCRP2	breakpoint cluster region pseudogene 2	BCR-2		400892	ENSG00000169668	NG_007131
HGNC:10150	SNORD28	small nucleolar RNA, C/D box 28	U28, SNORD28A	U40580	9300	ENSG00000274544	NR_002562
HGNC:10151	SNORD29	small nucleolar RNA, C/D box 29	U29	U40580	9297		NR_002559
HGNC:10152	RNU2-2P	RNA, U2 small nuclear 2, pseudogene	U2	K02847	26855	ENSG00000222328	NR_002761
HGNC:10153	RNU2-3P	RNA, U2 small nuclear 3, pseudogene	U2	K03024	26854	ENSG00000222076	
HGNC:10154	RNU2-4P	RNA, U2 small nuclear 4, pseudogene	U2, U2/7	K02228	26853	ENSG00000277084	NG_001257
HGNC:10155	RNU2-5P	RNA, U2 small nuclear 5, pseudogene	U2, u2.7	K00779	26852	ENSG00000222465	
HGNC:10156	RNU3~withdrawn	entry withdrawn					
HGNC:10157	SNORD30	small nucleolar RNA, C/D box 30	U30	U40580	9299	ENSG00000277846	NR_002561
HGNC:10158	SNORD31	small nucleolar RNA, C/D box 31	U31, SNORD31A	U40580	9298		NR_002560
HGNC:10159	SNORD32A	small nucleolar RNA, C/D box 32A	U32, U32A	X94598	26819	ENSG00000201675	NR_000021
HGNC:1016	BCRP3	breakpoint cluster region pseudogene 3			644165	ENSG00000215481	
HGNC:10160	SNORD33	small nucleolar RNA, C/D box 33	U33	X94599	26818	ENSG00000199631	NR_000020
HGNC:10161	SNORD34	small nucleolar RNA, C/D box 34	U34	X94600	26817	ENSG00000202503	NR_000019
HGNC:10162	SNORD35A	small nucleolar RNA, C/D box 35A	U35, RNU35A	X94601	26816	ENSG00000200259	NR_000018
HGNC:10163	SNORD36A	small nucleolar RNA, C/D box 36A	U36a	AJ003040	26815	ENSG00000199744	NR_002448
HGNC:10164	SNORD36B	small nucleolar RNA, C/D box 36B	U36b	AJ003039	26814	ENSG00000200831	NR_000017
HGNC:10165	SNORD36C	small nucleolar RNA, C/D box 36C	U36c	AJ003041	26813	ENSG00000252542	NR_000016
HGNC:10166	SNORD37	small nucleolar RNA, C/D box 37	U37	X94602	26812	ENSG00000206775	NR_002602
HGNC:10167	SNORD39~withdrawn	symbol withdrawn, see SNORD55					
HGNC:10168	SNORD3B-1	small nucleolar RNA, C/D box 3B-1	U3a, U3b1, U3b2	AF020534, AF020533, AF020532	26851	ENSG00000265185	NR_003271
HGNC:10169	RNU3A2~withdrawn	entry withdrawn					
HGNC:1017	BCRP4	breakpoint cluster region pseudogene 4	BCR-4	D87002	616	ENSG00000215456	NG_000002
HGNC:10170	RNU3A3~withdrawn	entry withdrawn					
HGNC:10171	RNU3B1~withdrawn	entry withdrawn					
HGNC:10172	RNU3B2~withdrawn	entry withdrawn					
HGNC:10173	RNU3B3~withdrawn	entry withdrawn					
HGNC:10174	RNU3B4~withdrawn	entry withdrawn					
HGNC:10175	SNORD3P1	small nucleolar RNA, C/D box 3 pseudogene 1	U3	X14946	6068		NG_001185
HGNC:10176	SNORD3P2	small nucleolar RNA, C/D box 3 pseudogene 2	U3, U3.2	K00773	26844		
HGNC:10177	SNORD3P3	small nucleolar RNA, C/D box 3 pseudogene 3	U3, U3.5, u3.7	K00774	26843		NG_001254
HGNC:10178	SNORD3P4	small nucleolar RNA, C/D box 3 pseudogene 4	U3, U3.6	K00775	26842		NG_001253
HGNC:10179	SNORD41	small nucleolar RNA, C/D box 41	U41	X96640	26810	ENSG00000209702	NR_002751
HGNC:1018	BCRP5	breakpoint cluster region pseudogene 5			648980	ENSG00000235062	NG_009418
HGNC:10180	SNORD42A	small nucleolar RNA, C/D box 42A	U42	X96641	26809	ENSG00000238649	NR_000014
HGNC:10181	SNORD42B	small nucleolar RNA, C/D box 42B	U42B	AJ224023	26808	ENSG00000238423	NR_000013
HGNC:10182	SNORD43	small nucleolar RNA, C/D box 43	U43	X96642	26807	ENSG00000263764	NR_002439
HGNC:10183	SNORD44	small nucleolar RNA, C/D box 44	U44	X96643	26806		NR_002750
HGNC:10184	SNORD45A	small nucleolar RNA, C/D box 45A	U45a	X96644	26805	ENSG00000207241	NR_002749
HGNC:10185	SNORD45B	small nucleolar RNA, C/D box 45B	U45b	X96645	26804	ENSG00000201487	NR_002748
HGNC:10186	SNORD46	small nucleolar RNA, C/D box 46	U46, U40	X96646	94161	ENSG00000200913	NR_000024
HGNC:10187	SNORD47	small nucleolar RNA, C/D box 47	U47	X96647	26802		NR_002746
HGNC:10188	SNORD48	small nucleolar RNA, C/D box 48	U48	X96648	26801	ENSG00000201823	NR_002745
HGNC:10189	SNORD49A	small nucleolar RNA, C/D box 49A	U49, U49A	X96649	26800	ENSG00000277370	NR_002744
HGNC:1019	BCRL6~withdrawn	symbol withdrawn, see BCRP3					
HGNC:10190	RNU4A~withdrawn	symbol withdrawn, see RNU4-1					
HGNC:10191	RNU4-1B~withdrawn	symbol withdrawn, see RNU4-2					
HGNC:10192	RNU4-1	RNA, U4 small nuclear 1	U4BL, U4	M15956	26835	ENSG00000200795	NR_003925
HGNC:10193	RNU4-2	RNA, U4 small nuclear 2	U4c, U4b, U4A	M15957	26834	ENSG00000202538	NR_003137
HGNC:10194	RNU4-7P	RNA, U4 small nuclear 7, pseudogene	U4, U4/7	M24746	6069	ENSG00000201628	
HGNC:10195	RNU4-8P	RNA, U4 small nuclear 8, pseudogene	U4, U4/14	M24745	6070	ENSG00000201806	NG_001187
HGNC:10196	RNU4-3P	RNA, U4 small nuclear 3, pseudogene	U4, U4/4	X02651	26841		NG_001252
HGNC:10197	RNU4-4P	RNA, U4 small nuclear 4, pseudogene	U4, U4/5	X02652	26840	ENSG00000201458	NG_001251
HGNC:10198	RNU4-5P	RNA, U4 small nuclear 5, pseudogene	U4, U4/6	X02653	26839	ENSG00000272160	NG_001250
HGNC:10199	RNU4-6P	RNA, U4 small nuclear 6, pseudogene	U4, U4/8	X02654	26838	ENSG00000222736	
HGNC:102	CNNM1	cyclin and CBS domain divalent metal cation transport mediator 1		AF169226	26507	ENSG00000119946	NM_020348
HGNC:1020	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone	Hs.6719, BCS, h-BCS, BJS	AF026849	617	ENSG00000074582	NM_004328
HGNC:10200	SNORD50A	small nucleolar RNA, C/D box 50A	U50	X96662, AB017710	26799		NR_002743
HGNC:10201	SNORD51	small nucleolar RNA, C/D box 51	U51	X96650	26798	ENSG00000207047	NR_002589
HGNC:10202	SNORD52	small nucleolar RNA, C/D box 52	U52	X96651	26797	ENSG00000201754	NR_002742
HGNC:10203	SNORD53	small nucleolar RNA, C/D box 53	U53, SNORD53A	X96652	26796	ENSG00000265145	NR_002741
HGNC:10204	SNORD54	small nucleolar RNA, C/D box 54	U54	X96653	26795	ENSG00000238650	NR_002437
HGNC:10205	SNORD55	small nucleolar RNA, C/D box 55	U55, U39	X96654	26811	ENSG00000264294	NR_000015
HGNC:10206	SNORD56	small nucleolar RNA, C/D box 56	U56	X96655	26793	ENSG00000229686	NR_002739
HGNC:10207	SNORD57	small nucleolar RNA, C/D box 57	U57	X96656	26792	ENSG00000226572	NR_002738
HGNC:10208	SNORD58A	small nucleolar RNA, C/D box 58A	U58a	X96657	26791	ENSG00000206602	NR_002571
HGNC:10209	SNORD58B	small nucleolar RNA, C/D box 58B	U58b	X96658	26790	ENSG00000271982	NR_002572
HGNC:1021	BCUR1~withdrawn	symbol withdrawn, see LDOC1					
HGNC:10210	SNORD59A	small nucleolar RNA, C/D box 59A	U59	X96659	26789	ENSG00000207031	NR_002737
HGNC:10211	RNU5A-1	RNA, U5A small nuclear 1	U5A, U5B1		26831	ENSG00000199568	NR_002756
HGNC:10212	RNU5B-1	RNA, U5B small nuclear 1	U5B1	X04293	26832	ENSG00000200156	NR_002757
HGNC:10213	RNU5C~withdrawn	symbol withdrawn, see RNU5A-1					
HGNC:10214	RNU5D-1	RNA, U5D small nuclear 1	U5DS, U5DL	M77838	26830	ENSG00000200169	NR_002755
HGNC:10215	RNU5E-1	RNA, U5E small nuclear 1	U5E	M77839	26829	ENSG00000199347	NR_002754
HGNC:10216	RNU5F-1	RNA, U5F small nuclear 1		M77840	26828	ENSG00000199377	NR_002753
HGNC:10217	SNORD60	small nucleolar RNA, C/D box 60	U60	X96660	26788	ENSG00000206630	NR_002736
HGNC:10218	SNORD61	small nucleolar RNA, C/D box 61	U61, HBII-342	X96661	26787	ENSG00000206979	NR_002735
HGNC:10219	SNORD62A	small nucleolar RNA, C/D box 62A	U62, U62A	U72851	26786	ENSG00000235284	NR_002914
HGNC:1022	BCYRN1	brain cytoplasmic RNA 1	BC200, BC200a, NCRNA00004, LINC00004	AF020057	618	ENSG00000236824	NR_001568
HGNC:10220	SNORD63	small nucleolar RNA, C/D box 63	U63, SNORD63A	U72852	26785	ENSG00000206989	NR_002913
HGNC:10221	SNORA64	small nucleolar RNA, H/ACA box 64	U64	Y11158	26784	ENSG00000207405	NR_002326
HGNC:10222	SNORA65	small nucleolar RNA, H/ACA box 65	U65	Y11159	26783	ENSG00000201302	NR_002449
HGNC:10223	SNORA66	small nucleolar RNA, H/ACA box 66	U66	Y11160	26782	ENSG00000207523	NR_002444
HGNC:10224	SNORA67	small nucleolar RNA, H/ACA box 67	U67	Y11161	26781	ENSG00000277985	NR_002912
HGNC:10225	SNORA68	small nucleolar RNA, H/ACA box 68	U68, SNORA68A	Y11162	26780	ENSG00000207166	NR_000012
HGNC:10226	SNORA69	small nucleolar RNA, H/ACA box 69	U69	Y11163	26779	ENSG00000206622	NR_002584
HGNC:10227	RNU6-1	RNA, U6 small nuclear 1	U6, U6-1	M14486	26827	ENSG00000206625	NR_004394
HGNC:10228	RNU6-6P	RNA, U6 small nuclear 6, pseudogene	U6-6	K03099	26826	ENSG00000272055	NR_002752
HGNC:10229	RNU6-50P	RNA, U6 small nuclear 50, pseudogene	U6	K03026	26825	ENSG00000199226	NG_001248
HGNC:1023	BCYRN1P1	brain cytoplasmic RNA 1, pseudogene 1	BC200b	U01307	619		
HGNC:10230	RNU6V	RNA, U6 small nuclear variant sequence with SNRPE pseudogene sequence	87U6, LH87	X54048	6071	ENSG00000206832	
HGNC:10231	SNORA70	small nucleolar RNA, H/ACA box 70	U70, DXS648E	Y11164	26778	ENSG00000207165	NR_000011
