DrugID	Name	Action	TargetID	Symbol	HGNC
DB00036	Coagulation factor VIIa Recombinant Human		BE0000403	GGCX	HGNC:4247
DB00036	Coagulation factor VIIa Recombinant Human		BE0000333	F7	HGNC:3544
DB00036	Coagulation factor VIIa Recombinant Human		BE0001178	F3	HGNC:3541
DB00038	Oprelvekin	agonist	BE0000416	IL11RA	HGNC:5967
DB00039	Palifermin	binder	BE0000748	FGFR2	HGNC:3689
DB00039	Palifermin		BE0002129	NRP1	HGNC:8004
DB00039	Palifermin		BE0002131	FGFR1	HGNC:3688
DB00039	Palifermin		BE0001203	FGFR4	HGNC:3691
DB00039	Palifermin		BE0002133	FGFR3	HGNC:3690
DB00039	Palifermin		BE0001031	HSPG2	HGNC:5273
DB00040	Glucagon recombinant	agonist	BE0000527	GCGR	HGNC:4192
DB00040	Glucagon recombinant		BE0002134	GLP2R	HGNC:4325
DB00040	Glucagon recombinant		BE0000857	GLP1R	HGNC:4324
DB00041	Aldesleukin	agonist;modulator	BE0000651	IL2RB	HGNC:6009
DB00041	Aldesleukin	agonist;modulator	BE0000658	IL2RA	HGNC:6008
DB00041	Aldesleukin	agonist	BE0002102	IL2RG	HGNC:6010
DB00042	Botulinum Toxin Type B	binder	BE0002137	VAMP2	HGNC:12643
DB00042	Botulinum Toxin Type B	binder	BE0002136	VAMP1	HGNC:12642
DB00042	Botulinum Toxin Type B		BE0002138	SYT2	HGNC:11510
DB00043	Omalizumab		BE0000015	FCER1A	HGNC:3609
DB00043	Omalizumab	antagonist	BE0002139	MS4A2	HGNC:7316
DB00044	Lutropin alfa	agonist	BE0000134	LHCGR	HGNC:6585
DB00045	OspA lipoprotein	other/unknown	BE0001164	TLR2	HGNC:11848
DB00046	Insulin Lispro	agonist	BE0000033	INSR	HGNC:6091
DB00046	Insulin Lispro		BE0000858	IGF1R	HGNC:5465
DB00047	Insulin Glargine	agonist	BE0000033	INSR	HGNC:6091
DB00047	Insulin Glargine	agonist	BE0000858	IGF1R	HGNC:5465
DB00048	Collagenase clostridium histolyticum		BE0000025	COL1A1	HGNC:2197
DB00048	Collagenase clostridium histolyticum		BE0002140	COL2A1	HGNC:2200
DB00048	Collagenase clostridium histolyticum		BE0002130	COL3A1	HGNC:2201
DB00048	Collagenase clostridium histolyticum		BE0002141	COL1A2	HGNC:2198
DB00050	Cetrorelix	antagonist	BE0000203	GNRHR	HGNC:4421
DB00050	Cetrorelix		BE0000134	LHCGR	HGNC:6585
DB00051	Adalimumab	antibody	BE0000704	TNF	HGNC:11892
DB00051	Adalimumab		BE0000901	FCGR3B	HGNC:3620
DB00051	Adalimumab		BE0002093	C1R	HGNC:1246
DB00051	Adalimumab		BE0002094	C1QA	HGNC:1241
DB00051	Adalimumab		BE0002095	C1QB	HGNC:1242
DB00051	Adalimumab		BE0002096	C1QC	HGNC:1245
DB00051	Adalimumab		BE0002097	FCGR3A	HGNC:3619
DB00051	Adalimumab		BE0001529	C1S	HGNC:1247
DB00051	Adalimumab		BE0000710	FCGR1A	HGNC:3613
DB00051	Adalimumab		BE0002098	FCGR2A	HGNC:3616
DB00051	Adalimumab		BE0002099	FCGR2B	HGNC:3618
DB00051	Adalimumab		BE0002100	FCGR2C	HGNC:15626
DB00052	Somatotropin	binder	BE0000075	GHR	HGNC:4263
DB00052	Somatotropin		BE0000345	PRLR	HGNC:9446
DB00054	Abciximab	antagonist	BE0001155	ITGB3	HGNC:6156
DB00054	Abciximab	antagonist	BE0000439	ITGA2B	HGNC:6138
DB00054	Abciximab		BE0000901	FCGR3B	HGNC:3620
DB00054	Abciximab		BE0002093	C1R	HGNC:1246
DB00054	Abciximab		BE0002094	C1QA	HGNC:1241
DB00054	Abciximab		BE0002095	C1QB	HGNC:1242
DB00054	Abciximab		BE0002096	C1QC	HGNC:1245
DB00054	Abciximab		BE0002097	FCGR3A	HGNC:3619
DB00054	Abciximab		BE0001529	C1S	HGNC:1247
DB00054	Abciximab		BE0000710	FCGR1A	HGNC:3613
DB00054	Abciximab		BE0002098	FCGR2A	HGNC:3616
DB00054	Abciximab		BE0002099	FCGR2B	HGNC:3618
DB00054	Abciximab		BE0002100	FCGR2C	HGNC:15626
DB00054	Abciximab		BE0001068	VTN	HGNC:12724
DB00055	Drotrecogin alfa	multitarget	BE0000016	F8	HGNC:3546
DB00055	Drotrecogin alfa	multitarget	BE0000041	F5	HGNC:3542
DB00055	Drotrecogin alfa		BE0000240	SERPINE1	HGNC:8583
DB00055	Drotrecogin alfa		BE0001151	THBD	HGNC:11784
DB00055	Drotrecogin alfa		BE0000943	PROS1	HGNC:9456
DB00055	Drotrecogin alfa		BE0001140	CP	HGNC:2295
DB00055	Drotrecogin alfa		BE0000048	F2	HGNC:3535
DB00055	Drotrecogin alfa		BE0001129	PF4	HGNC:8861
DB00055	Drotrecogin alfa		BE0002112	SERPINA5	HGNC:8723
DB00055	Drotrecogin alfa		BE0002142	SERPINB6	HGNC:8950
DB00055	Drotrecogin alfa		BE0000403	GGCX	HGNC:4247
DB00055	Drotrecogin alfa		BE0001161	PROCR	HGNC:9452
DB00056	Gemtuzumab ozogamicin	antibody	BE0000674	CD33	HGNC:1659
DB00056	Gemtuzumab ozogamicin		BE0000901	FCGR3B	HGNC:3620
DB00056	Gemtuzumab ozogamicin		BE0002093	C1R	HGNC:1246
DB00056	Gemtuzumab ozogamicin		BE0002094	C1QA	HGNC:1241
DB00056	Gemtuzumab ozogamicin		BE0002095	C1QB	HGNC:1242
DB00056	Gemtuzumab ozogamicin		BE0002096	C1QC	HGNC:1245
DB00056	Gemtuzumab ozogamicin		BE0002097	FCGR3A	HGNC:3619
DB00056	Gemtuzumab ozogamicin		BE0001529	C1S	HGNC:1247
DB00056	Gemtuzumab ozogamicin		BE0000710	FCGR1A	HGNC:3613
DB00056	Gemtuzumab ozogamicin		BE0002098	FCGR2A	HGNC:3616
DB00056	Gemtuzumab ozogamicin		BE0002099	FCGR2B	HGNC:3618
DB00056	Gemtuzumab ozogamicin		BE0002100	FCGR2C	HGNC:15626
DB00058	Alpha-1-proteinase inhibitor	inhibitor	BE0000394	ELANE	HGNC:3309
DB00060	Interferon beta-1a	agonist	BE0000661	IFNAR1	HGNC:5432
DB00060	Interferon beta-1a		BE0000385	IFNAR2	HGNC:5433
DB00061	Pegademase bovine	binder	BE0000917	GRB2	HGNC:4566
DB00062	Human Serum Albumin		BE0001119	APOE	HGNC:613
DB00062	Human Serum Albumin		BE0004795	SAA1	HGNC:10513
DB00062	Human Serum Albumin		BE0000932	AMBP	HGNC:453
DB00063	Eptifibatide		BE0001155	ITGB3	HGNC:6156
DB00065	Infliximab	inhibitor	BE0000704	TNF	HGNC:11892
DB00066	Follitropin	agonist	BE0000387	FSHR	HGNC:3969
DB00067	Vasopressin	agonist	BE0000293	AVPR2	HGNC:897
DB00067	Vasopressin		BE0000165	AVPR1A	HGNC:895
DB00067	Vasopressin		BE0000773	AVPR1B	HGNC:896
DB00068	Interferon beta-1b	agonist	BE0000661	IFNAR1	HGNC:5432
DB00068	Interferon beta-1b	agonist	BE0000385	IFNAR2	HGNC:5433
DB00069	Interferon alfacon-1	binder	BE0000661	IFNAR1	HGNC:5432
DB00069	Interferon alfacon-1	binder	BE0000385	IFNAR2	HGNC:5433
DB00070	Hyaluronidase	inhibitor	BE0000984	TGFB1	HGNC:11766
DB00071	Insulin Pork	binder	BE0000033	INSR	HGNC:6091
DB00071	Insulin Pork		BE0000858	IGF1R	HGNC:5465
DB00071	Insulin Pork		BE0001183	IDE	HGNC:5381
DB00071	Insulin Pork		BE0002122	HLA-DQA2	HGNC:4943
DB00071	Insulin Pork		BE0004466	HLA-DQB1	HGNC:4944
DB00071	Insulin Pork		BE0002123	RB1	HGNC:9884
DB00071	Insulin Pork		BE0000941	CTSD	HGNC:2529
DB00071	Insulin Pork		BE0001123	CPE	HGNC:2303
DB00071	Insulin Pork		BE0002124	PCSK2	HGNC:8744
DB00071	Insulin Pork		BE0002125	PCSK1	HGNC:8743
DB00071	Insulin Pork		BE0001147	NOV	HGNC:7885
DB00071	Insulin Pork		BE0000942	LRP2	HGNC:6694
DB00071	Insulin Pork		BE0002126	IGFBP7	HGNC:5476
DB00071	Insulin Pork		BE0002127	SYTL4	HGNC:15588
DB00072	Trastuzumab	antibody	BE0000511	ERBB2	HGNC:3430
DB00072	Trastuzumab		BE0000767	EGFR	HGNC:3236
DB00072	Trastuzumab		BE0002093	C1R	HGNC:1246
DB00072	Trastuzumab		BE0002094	C1QA	HGNC:1241
DB00072	Trastuzumab		BE0002095	C1QB	HGNC:1242
DB00072	Trastuzumab		BE0002096	C1QC	HGNC:1245
DB00072	Trastuzumab		BE0001529	C1S	HGNC:1247
DB00072	Trastuzumab		BE0000710	FCGR1A	HGNC:3613
DB00072	Trastuzumab		BE0002098	FCGR2A	HGNC:3616
DB00072	Trastuzumab		BE0002099	FCGR2B	HGNC:3618
DB00072	Trastuzumab		BE0002100	FCGR2C	HGNC:15626
DB00072	Trastuzumab		BE0000901	FCGR3B	HGNC:3620
DB00072	Trastuzumab		BE0002097	FCGR3A	HGNC:3619
DB00073	Rituximab	antibody	BE0000066	MS4A1	HGNC:7315
DB00073	Rituximab		BE0000901	FCGR3B	HGNC:3620
DB00073	Rituximab		BE0002093	C1R	HGNC:1246
DB00073	Rituximab		BE0002094	C1QA	HGNC:1241
DB00073	Rituximab		BE0002095	C1QB	HGNC:1242
DB00073	Rituximab		BE0002096	C1QC	HGNC:1245
DB00073	Rituximab		BE0002097	FCGR3A	HGNC:3619
DB00073	Rituximab		BE0001529	C1S	HGNC:1247
DB00073	Rituximab		BE0000710	FCGR1A	HGNC:3613
DB00073	Rituximab		BE0002098	FCGR2A	HGNC:3616
DB00073	Rituximab		BE0002099	FCGR2B	HGNC:3618
DB00073	Rituximab		BE0002100	FCGR2C	HGNC:15626
DB00074	Basiliximab	antibody	BE0000658	IL2RA	HGNC:6008
DB00074	Basiliximab	antibody	BE0000651	IL2RB	HGNC:6009
DB00074	Basiliximab		BE0000710	FCGR1A	HGNC:3613
DB00074	Basiliximab		BE0002097	FCGR3A	HGNC:3619
DB00074	Basiliximab		BE0002098	FCGR2A	HGNC:3616
DB00074	Basiliximab		BE0002099	FCGR2B	HGNC:3618
DB00074	Basiliximab		BE0002100	FCGR2C	HGNC:15626
DB00074	Basiliximab		BE0000901	FCGR3B	HGNC:3620
DB00074	Basiliximab		BE0001529	C1S	HGNC:1247
DB00074	Basiliximab		BE0002093	C1R	HGNC:1246
DB00074	Basiliximab		BE0002094	C1QA	HGNC:1241
DB00074	Basiliximab		BE0002095	C1QB	HGNC:1242
DB00074	Basiliximab		BE0002096	C1QC	HGNC:1245
DB00075	Muromonab		BE0003456	CD3D	HGNC:1673
DB00075	Muromonab	binder	BE0000274	CD3E	HGNC:1674
DB00075	Muromonab		BE0003457	CD3G	HGNC:1675
DB00075	Muromonab		BE0003458	CD247	HGNC:1677
DB00075	Muromonab		BE0000901	FCGR3B	HGNC:3620
DB00075	Muromonab		BE0002093	C1R	HGNC:1246
DB00075	Muromonab		BE0002094	C1QA	HGNC:1241
DB00075	Muromonab		BE0002095	C1QB	HGNC:1242
DB00075	Muromonab		BE0002096	C1QC	HGNC:1245
DB00075	Muromonab		BE0002097	FCGR3A	HGNC:3619
DB00075	Muromonab		BE0001529	C1S	HGNC:1247
DB00075	Muromonab		BE0000710	FCGR1A	HGNC:3613
DB00075	Muromonab		BE0002098	FCGR2A	HGNC:3616
DB00075	Muromonab		BE0002099	FCGR2B	HGNC:3618
DB00075	Muromonab		BE0002100	FCGR2C	HGNC:15626
DB00078	Ibritumomab tiuxetan	antibody	BE0000066	MS4A1	HGNC:7315
DB00078	Ibritumomab tiuxetan		BE0000901	FCGR3B	HGNC:3620
DB00078	Ibritumomab tiuxetan		BE0002093	C1R	HGNC:1246
DB00078	Ibritumomab tiuxetan		BE0002094	C1QA	HGNC:1241
DB00078	Ibritumomab tiuxetan		BE0002095	C1QB	HGNC:1242
DB00078	Ibritumomab tiuxetan		BE0002096	C1QC	HGNC:1245
DB00078	Ibritumomab tiuxetan		BE0002097	FCGR3A	HGNC:3619
DB00078	Ibritumomab tiuxetan		BE0001529	C1S	HGNC:1247
DB00078	Ibritumomab tiuxetan		BE0000710	FCGR1A	HGNC:3613
DB00078	Ibritumomab tiuxetan		BE0002098	FCGR2A	HGNC:3616
DB00078	Ibritumomab tiuxetan		BE0002099	FCGR2B	HGNC:3618
DB00078	Ibritumomab tiuxetan		BE0002100	FCGR2C	HGNC:15626
DB00081	Tositumomab	antibody	BE0000066	MS4A1	HGNC:7315
DB00081	Tositumomab		BE0000901	FCGR3B	HGNC:3620
DB00081	Tositumomab		BE0002093	C1R	HGNC:1246
DB00081	Tositumomab		BE0002094	C1QA	HGNC:1241
DB00081	Tositumomab		BE0002095	C1QB	HGNC:1242
DB00081	Tositumomab		BE0002096	C1QC	HGNC:1245
DB00081	Tositumomab		BE0002097	FCGR3A	HGNC:3619
DB00081	Tositumomab		BE0000710	FCGR1A	HGNC:3613
DB00081	Tositumomab		BE0002098	FCGR2A	HGNC:3616
DB00081	Tositumomab		BE0002099	FCGR2B	HGNC:3618
DB00081	Tositumomab		BE0002100	FCGR2C	HGNC:15626
DB00082	Pegvisomant	antagonist	BE0000075	GHR	HGNC:4263
DB00083	Botulinum Toxin Type A	inhibitor	BE0000390	SNAP25	HGNC:11132
DB00083	Botulinum Toxin Type A		BE0003572	RHOB	HGNC:668
DB00086	Streptokinase	activator	BE0000211	PLG	HGNC:9071
DB00086	Streptokinase	cleavage	BE0000928	F2R	HGNC:3537
DB00087	Alemtuzumab	antibody	BE0000083	CD52	HGNC:1804
DB00087	Alemtuzumab		BE0000901	FCGR3B	HGNC:3620
DB00087	Alemtuzumab		BE0002093	C1R	HGNC:1246
DB00087	Alemtuzumab		BE0002094	C1QA	HGNC:1241
DB00087	Alemtuzumab		BE0002095	C1QB	HGNC:1242
DB00087	Alemtuzumab		BE0002096	C1QC	HGNC:1245
DB00087	Alemtuzumab		BE0002097	FCGR3A	HGNC:3619
DB00087	Alemtuzumab		BE0000710	FCGR1A	HGNC:3613
DB00087	Alemtuzumab		BE0002098	FCGR2A	HGNC:3616
DB00087	Alemtuzumab		BE0002099	FCGR2B	HGNC:3618
DB00087	Alemtuzumab		BE0002100	FCGR2C	HGNC:15626
DB00089	Capromab pendetide	other/unknown	BE0000568	FOLH1	HGNC:3788
DB00091	Cyclosporine	binder	BE0000379	CAMLG	HGNC:1471
DB00091	Cyclosporine	inhibitor	BE0002143	PPP3R2	HGNC:9318
DB00091	Cyclosporine		BE0001014	PPIA	HGNC:9253
DB00091	Cyclosporine	binder	BE0001399	PPIF	HGNC:9259
DB00092	Alefacept	inhibitor	BE0000719	CD2	HGNC:1639
DB00092	Alefacept		BE0002093	C1R	HGNC:1246
DB00092	Alefacept		BE0002094	C1QA	HGNC:1241
DB00092	Alefacept		BE0002095	C1QB	HGNC:1242
DB00092	Alefacept		BE0002096	C1QC	HGNC:1245
DB00092	Alefacept		BE0002097	FCGR3A	HGNC:3619
DB00092	Alefacept		BE0000710	FCGR1A	HGNC:3613
DB00092	Alefacept		BE0002098	FCGR2A	HGNC:3616
DB00092	Alefacept		BE0002099	FCGR2B	HGNC:3618
DB00092	Alefacept		BE0002100	FCGR2C	HGNC:15626
DB00092	Alefacept		BE0000901	FCGR3B	HGNC:3620
DB00093	Felypressin	agonist	BE0000165	AVPR1A	HGNC:895
DB00094	Urofollitropin	agonist	BE0000387	FSHR	HGNC:3969
DB00095	Efalizumab	antibody	BE0000516	ITGAL	HGNC:6148
DB00095	Efalizumab		BE0000901	FCGR3B	HGNC:3620
DB00095	Efalizumab		BE0002093	C1R	HGNC:1246
DB00095	Efalizumab		BE0002094	C1QA	HGNC:1241
DB00095	Efalizumab		BE0002095	C1QB	HGNC:1242
DB00095	Efalizumab		BE0002096	C1QC	HGNC:1245
DB00095	Efalizumab		BE0002097	FCGR3A	HGNC:3619
DB00095	Efalizumab		BE0000710	FCGR1A	HGNC:3613
DB00095	Efalizumab		BE0002098	FCGR2A	HGNC:3616
DB00095	Efalizumab		BE0002099	FCGR2B	HGNC:3618
DB00095	Efalizumab		BE0002100	FCGR2C	HGNC:15626
DB00097	Choriogonadotropin alfa		BE0000134	LHCGR	HGNC:6585
DB00097	Choriogonadotropin alfa	binder	BE0000387	FSHR	HGNC:3969
DB00098	Antithymocyte immunoglobulin (rabbit)	inhibitor	BE0000598	CD1A	HGNC:1634
DB00098	Antithymocyte immunoglobulin (rabbit)	antagonist	BE0003573	MR1	HGNC:4975
DB00098	Antithymocyte immunoglobulin (rabbit)		BE0000516	ITGAL	HGNC:6148
DB00098	Antithymocyte immunoglobulin (rabbit)		BE0000846	CD86	HGNC:1705
DB00098	Antithymocyte immunoglobulin (rabbit)		BE0002099	FCGR2B	HGNC:3618
DB00098	Antithymocyte immunoglobulin (rabbit)		BE0003488	CD4	HGNC:1678
DB00098	Antithymocyte immunoglobulin (rabbit)		BE0003575	ITGB1	HGNC:6153
DB00098	Antithymocyte immunoglobulin (rabbit)		BE0003576	ITGAV	HGNC:6150
DB00098	Antithymocyte immunoglobulin (rabbit)		BE0001155	ITGB3	HGNC:6156
DB00099	Filgrastim	stimulator	BE0000793	CSF3R	HGNC:2439
DB00099	Filgrastim	other/unknown	BE0000394	ELANE	HGNC:3309
DB00100	Coagulation Factor IX (Recombinant)	activator	BE0000216	F10	HGNC:3528
DB00100	Coagulation Factor IX (Recombinant)	ligand	BE0001021	F11	HGNC:3529
DB00100	Coagulation Factor IX (Recombinant)	ligand	BE0000333	F7	HGNC:3544
DB00100	Coagulation Factor IX (Recombinant)	cofactor	BE0000016	F8	HGNC:3546
DB00100	Coagulation Factor IX (Recombinant)		BE0000048	F2	HGNC:3535
DB00100	Coagulation Factor IX (Recombinant)		BE0002110	LRP1	HGNC:6692
DB00100	Coagulation Factor IX (Recombinant)		BE0000403	GGCX	HGNC:4247
DB00102	Becaplermin		BE0000205	PDGFRB	HGNC:8804
DB00102	Becaplermin		BE0000852	PDGFRA	HGNC:8803
DB00102	Becaplermin		BE0000910	A2M	HGNC:7
DB00104	Octreotide		BE0000452	SSTR1	HGNC:11330
DB00104	Octreotide		BE0002147	SSTR5	HGNC:11334
