DrugID	Name	Action	TargetID	UniProt	Target
DB00018	Interferon alfa-n3	agonist	BE0000661	P17181	Interferon alpha/beta receptor 1
DB00018	Interferon alfa-n3	agonist	BE0000385	P48551	Interferon alpha/beta receptor 2
DB00019	Pegfilgrastim	agonist	BE0000793	Q99062	Granulocyte colony-stimulating factor receptor
DB00019	Pegfilgrastim		BE0000394	P08246	Neutrophil elastase
DB00020	Sargramostim	agonist	BE0000628	P15509	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
DB00020	Sargramostim	agonist	BE0001036	P26951	Interleukin-3 receptor subunit alpha
DB00020	Sargramostim	agonist	BE0002115	P32927	Cytokine receptor common subunit beta
DB00020	Sargramostim	agonist	BE0002116	P34741	Syndecan-2
DB00020	Sargramostim		BE0002114	P13727	Bone marrow proteoglycan
DB00021	Secretin	agonist	BE0000318	P47872	Secretin receptor
DB00022	Peginterferon alfa-2b	agonist	BE0000661	P17181	Interferon alpha/beta receptor 1
DB00022	Peginterferon alfa-2b	agonist	BE0000385	P48551	Interferon alpha/beta receptor 2
DB00023	Asparaginase	other/unknown	BE0004798		L-asparagine
DB00024	Thyrotropin Alfa	agonist	BE0000490	P16473	Thyrotropin receptor
DB00025	Antihemophilic factor, human recombinant	activator	BE0000216	P00742	Coagulation factor X
DB00025	Antihemophilic factor, human recombinant	cofactor	BE0000364	P00740	Coagulation factor IX
DB00025	Antihemophilic factor, human recombinant	binder	BE0001043	P04275	von Willebrand factor
DB00025	Antihemophilic factor, human recombinant	antagonist	BE0002117	O14832	Phytanoyl-CoA dioxygenase, peroxisomal
DB00025	Antihemophilic factor, human recombinant	binder	BE0002118	P07307	Asialoglycoprotein receptor 2
DB00025	Antihemophilic factor, human recombinant	chaperone	BE0001098	P11021	78 kDa glucose-regulated protein
DB00025	Antihemophilic factor, human recombinant	chaperone	BE0002109	P27797	Calreticulin
DB00025	Antihemophilic factor, human recombinant	chaperone	BE0001011	P27824	Calnexin
DB00025	Antihemophilic factor, human recombinant	chaperone	BE0002119	P49257	Protein ERGIC-53
DB00025	Antihemophilic factor, human recombinant	modulator	BE0002110	Q07954	Prolow-density lipoprotein receptor-related protein 1
DB00025	Antihemophilic factor, human recombinant	modulator	BE0002120	Q8NI22	Multiple coagulation factor deficiency protein 2
DB00026	Anakinra	antagonist	BE0000565	P14778	Interleukin-1 receptor type 1
DB00028	Immune Globulin Human	antagonist	BE0000710	P12314	High affinity immunoglobulin gamma Fc receptor I
DB00028	Immune Globulin Human	antagonist	BE0004684	Q92637	High affinity immunoglobulin gamma Fc receptor IB
DB00028	Immune Globulin Human	antagonist	BE0002098	P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
DB00028	Immune Globulin Human	antagonist	BE0002099	P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
DB00028	Immune Globulin Human	antagonist	BE0002100	P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
DB00028	Immune Globulin Human	antagonist	BE0002097	P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
DB00028	Immune Globulin Human	antagonist	BE0000901	O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
DB00028	Immune Globulin Human	binder	BE0003455	P01024	Complement C3
DB00028	Immune Globulin Human	binder	BE0004685	P0C0L4	Complement C4-A
DB00028	Immune Globulin Human	binder	BE0004686	P0C0L5	Complement C4-B
DB00028	Immune Globulin Human	binder	BE0000855	P01031	Complement C5
DB00029	Anistreplase	activator	BE0000211	P00747	Plasminogen
DB00029	Anistreplase		BE0000538	P02671	Fibrinogen alpha chain
DB00029	Anistreplase		BE0000717	Q03405	Urokinase plasminogen activator surface receptor
DB00029	Anistreplase		BE0000240	P05121	Plasminogen activator inhibitor 1
DB00030	Insulin Human	agonist	BE0000033	P06213	Insulin receptor
DB00030	Insulin Human		BE0000858	P08069	Insulin-like growth factor 1 receptor
DB00030	Insulin Human		BE0002123	P06400	Retinoblastoma-associated protein
DB00030	Insulin Human		BE0000941	P07339	Cathepsin D
DB00030	Insulin Human		BE0001183	P14735	Insulin-degrading enzyme
DB00030	Insulin Human		BE0002124	P16519	Neuroendocrine convertase 2
DB00030	Insulin Human		BE0001123	P16870	Carboxypeptidase E
DB00030	Insulin Human		BE0002125	P29120	Neuroendocrine convertase 1
DB00030	Insulin Human		BE0001147	P48745	Protein NOV homolog
DB00030	Insulin Human		BE0000942	P98164	Low-density lipoprotein receptor-related protein 2
DB00030	Insulin Human		BE0002126	Q16270	Insulin-like growth factor-binding protein 7
DB00030	Insulin Human		BE0002127	Q96C24	Synaptotagmin-like protein 4
DB00031	Tenecteplase	activator	BE0000211	P00747	Plasminogen
DB00031	Tenecteplase		BE0000538	P02671	Fibrinogen alpha chain
DB00031	Tenecteplase		BE0000717	Q03405	Urokinase plasminogen activator surface receptor
DB00031	Tenecteplase		BE0000240	P05121	Plasminogen activator inhibitor 1
DB00031	Tenecteplase		BE0000969	P05120	Plasminogen activator inhibitor 2
DB00031	Tenecteplase		BE0002104	P05452	Tetranectin
DB00031	Tenecteplase		BE0002105	P05787	Keratin, type II cytoskeletal 8
DB00031	Tenecteplase		BE0001170	P07355	Annexin A2
DB00031	Tenecteplase		BE0002109	P27797	Calreticulin
DB00031	Tenecteplase		BE0001011	P27824	Calnexin
DB00031	Tenecteplase		BE0002110	Q07954	Prolow-density lipoprotein receptor-related protein 1
DB00032	Menotropins	binder	BE0000387	P23945	Follicle-stimulating hormone receptor
DB00032	Menotropins		BE0000134	P22888	Lutropin-choriogonadotropic hormone receptor
DB00033	Interferon gamma-1b	binder	BE0000711	P15260	Interferon gamma receptor 1
DB00033	Interferon gamma-1b	binder	BE0000467	P38484	Interferon gamma receptor 2
DB00034	Interferon Alfa-2a, Recombinant		BE0000661	P17181	Interferon alpha/beta receptor 1
DB00034	Interferon Alfa-2a, Recombinant		BE0000385	P48551	Interferon alpha/beta receptor 2
DB00035	Desmopressin	agonist	BE0000293	P30518	Vasopressin V2 receptor
DB00035	Desmopressin		BE0000165	P37288	Vasopressin V1a receptor
DB00035	Desmopressin		BE0000773	P47901	Vasopressin V1b receptor
DB00036	Coagulation factor VIIa Recombinant Human		BE0000216	P00742	Coagulation factor X
DB00036	Coagulation factor VIIa Recombinant Human		BE0002128	P05981	Serine protease hepsin
DB00036	Coagulation factor VIIa Recombinant Human		BE0000967	P10646	Tissue factor pathway inhibitor
DB00036	Coagulation factor VIIa Recombinant Human		BE0000403	P38435	Vitamin K-dependent gamma-carboxylase
DB00036	Coagulation factor VIIa Recombinant Human		BE0000333	P08709	Coagulation factor VII
DB00036	Coagulation factor VIIa Recombinant Human		BE0001178	P13726	Tissue factor
DB00038	Oprelvekin	agonist	BE0000416	Q14626	Interleukin-11 receptor subunit alpha
DB00039	Palifermin	binder	BE0000748	P21802	Fibroblast growth factor receptor 2
DB00039	Palifermin		BE0002129	O14786	Neuropilin-1
DB00039	Palifermin		BE0002131	P11362	Fibroblast growth factor receptor 1
DB00039	Palifermin		BE0001203	P22455	Fibroblast growth factor receptor 4
DB00039	Palifermin		BE0002133	P22607	Fibroblast growth factor receptor 3
DB00039	Palifermin		BE0001031	P98160	Basement membrane-specific heparan sulfate proteoglycan core protein
DB00040	Glucagon recombinant	agonist	BE0000527	P47871	Glucagon receptor
DB00040	Glucagon recombinant		BE0002134	O95838	Glucagon-like peptide 2 receptor
DB00040	Glucagon recombinant		BE0000857	P43220	Glucagon-like peptide 1 receptor
DB00041	Aldesleukin	agonist;modulator	BE0000651	P14784	Interleukin-2 receptor subunit beta
DB00041	Aldesleukin	agonist;modulator	BE0000658	P01589	Interleukin-2 receptor subunit alpha
DB00041	Aldesleukin	agonist	BE0002102	P31785	Cytokine receptor common subunit gamma
DB00042	Botulinum Toxin Type B	binder	BE0002137	P63027	Vesicle-associated membrane protein 2
DB00042	Botulinum Toxin Type B	binder	BE0002136	P23763	Vesicle-associated membrane protein 1
DB00042	Botulinum Toxin Type B		BE0002138	Q8N9I0	Synaptotagmin-2
DB00043	Omalizumab		BE0000015	P12319	High affinity immunoglobulin epsilon receptor subunit alpha
DB00043	Omalizumab	antagonist	BE0002139	Q01362	High affinity immunoglobulin epsilon receptor subunit beta
DB00044	Lutropin alfa	agonist	BE0000134	P22888	Lutropin-choriogonadotropic hormone receptor
DB00045	OspA lipoprotein	other/unknown	BE0001164	O60603	Toll-like receptor 2
DB00046	Insulin Lispro	agonist	BE0000033	P06213	Insulin receptor
DB00046	Insulin Lispro		BE0000858	P08069	Insulin-like growth factor 1 receptor
DB00047	Insulin Glargine	agonist	BE0000033	P06213	Insulin receptor
DB00047	Insulin Glargine	agonist	BE0000858	P08069	Insulin-like growth factor 1 receptor
DB00048	Collagenase clostridium histolyticum		BE0000025	P02452	Collagen alpha-1(I) chain
DB00048	Collagenase clostridium histolyticum		BE0002140	P02458	Collagen alpha-1(II) chain
DB00048	Collagenase clostridium histolyticum		BE0002130	P02461	Collagen alpha-1(III) chain
DB00048	Collagenase clostridium histolyticum		BE0002141	P08123	Collagen alpha-2(I) chain
DB00049	Rasburicase	metabolizer	BE0004823		Uric acid
DB00050	Cetrorelix	antagonist	BE0000203	P30968	Gonadotropin-releasing hormone receptor
DB00050	Cetrorelix		BE0000134	P22888	Lutropin-choriogonadotropic hormone receptor
DB00051	Adalimumab	antibody	BE0000704	P01375	Tumor necrosis factor
DB00051	Adalimumab		BE0000901	O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
DB00051	Adalimumab		BE0002093	P00736	Complement C1r subcomponent
DB00051	Adalimumab		BE0002094	P02745	Complement C1q subcomponent subunit A
DB00051	Adalimumab		BE0002095	P02746	Complement C1q subcomponent subunit B
DB00051	Adalimumab		BE0002096	P02747	Complement C1q subcomponent subunit C
DB00051	Adalimumab		BE0002097	P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
DB00051	Adalimumab		BE0001529	P09871	Complement C1s subcomponent
DB00051	Adalimumab		BE0000710	P12314	High affinity immunoglobulin gamma Fc receptor I
DB00051	Adalimumab		BE0002098	P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
DB00051	Adalimumab		BE0002099	P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
DB00051	Adalimumab		BE0002100	P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
DB00052	Somatotropin	binder	BE0000075	P10912	Growth hormone receptor
DB00052	Somatotropin		BE0000345	P16471	Prolactin receptor
DB00053	Imiglucerase	other/unknown	BE0004806		Glucocerebroside
DB00054	Abciximab	antagonist	BE0001155	P05106	Integrin beta-3
DB00054	Abciximab	antagonist	BE0000439	P08514	Integrin alpha-IIb
DB00054	Abciximab		BE0000901	O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
DB00054	Abciximab		BE0002093	P00736	Complement C1r subcomponent
DB00054	Abciximab		BE0002094	P02745	Complement C1q subcomponent subunit A
DB00054	Abciximab		BE0002095	P02746	Complement C1q subcomponent subunit B
DB00054	Abciximab		BE0002096	P02747	Complement C1q subcomponent subunit C
DB00054	Abciximab		BE0002097	P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
DB00054	Abciximab		BE0001529	P09871	Complement C1s subcomponent
DB00054	Abciximab		BE0000710	P12314	High affinity immunoglobulin gamma Fc receptor I
DB00054	Abciximab		BE0002098	P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
DB00054	Abciximab		BE0002099	P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
DB00054	Abciximab		BE0002100	P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
DB00054	Abciximab		BE0001068	P04004	Vitronectin
DB00055	Drotrecogin alfa	multitarget	BE0000016	P00451	Coagulation factor VIII
DB00055	Drotrecogin alfa	multitarget	BE0000041	P12259	Coagulation factor V
DB00055	Drotrecogin alfa		BE0000240	P05121	Plasminogen activator inhibitor 1
DB00055	Drotrecogin alfa		BE0001151	P07204	Thrombomodulin
DB00055	Drotrecogin alfa		BE0000943	P07225	Vitamin K-dependent protein S
DB00055	Drotrecogin alfa		BE0001140	P00450	Ceruloplasmin
DB00055	Drotrecogin alfa		BE0000048	P00734	Prothrombin
DB00055	Drotrecogin alfa		BE0001129	P02776	Platelet factor 4
DB00055	Drotrecogin alfa		BE0002112	P05154	Plasma serine protease inhibitor
DB00055	Drotrecogin alfa		BE0002142	P35237	Serpin B6
DB00055	Drotrecogin alfa		BE0000403	P38435	Vitamin K-dependent gamma-carboxylase
DB00055	Drotrecogin alfa		BE0001161	Q9UNN8	Endothelial protein C receptor
DB00056	Gemtuzumab ozogamicin	antibody	BE0000674	P20138	Myeloid cell surface antigen CD33
DB00056	Gemtuzumab ozogamicin		BE0000901	O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
DB00056	Gemtuzumab ozogamicin		BE0002093	P00736	Complement C1r subcomponent
DB00056	Gemtuzumab ozogamicin		BE0002094	P02745	Complement C1q subcomponent subunit A
DB00056	Gemtuzumab ozogamicin		BE0002095	P02746	Complement C1q subcomponent subunit B
DB00056	Gemtuzumab ozogamicin		BE0002096	P02747	Complement C1q subcomponent subunit C
DB00056	Gemtuzumab ozogamicin		BE0002097	P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
DB00056	Gemtuzumab ozogamicin		BE0001529	P09871	Complement C1s subcomponent
DB00056	Gemtuzumab ozogamicin		BE0000710	P12314	High affinity immunoglobulin gamma Fc receptor I
DB00056	Gemtuzumab ozogamicin		BE0002098	P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
DB00056	Gemtuzumab ozogamicin		BE0002099	P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
DB00056	Gemtuzumab ozogamicin		BE0002100	P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
DB00057	Indium In-111 satumomab pendetide	other/unknown	BE0004842		Tumor-associated glycoprotein 72 (TAG-72)
DB00058	Alpha-1-proteinase inhibitor	inhibitor	BE0000394	P08246	Neutrophil elastase
DB00059	Pegaspargase	other/unknown	BE0004798		L-asparagine
DB00060	Interferon beta-1a	agonist	BE0000661	P17181	Interferon alpha/beta receptor 1
DB00060	Interferon beta-1a		BE0000385	P48551	Interferon alpha/beta receptor 2
DB00061	Pegademase bovine	metabolizer	BE0004828		Adenosine
DB00061	Pegademase bovine	binder	BE0000917	P62993	Growth factor receptor-bound protein 2
DB00062	Human Serum Albumin		BE0001119	P02649	Apolipoprotein E
DB00062	Human Serum Albumin		BE0004795	P0DJI8	Serum amyloid A-1 protein
DB00062	Human Serum Albumin		BE0000932	P02760	Protein AMBP
DB00063	Eptifibatide		BE0001155	P05106	Integrin beta-3
DB00065	Infliximab	inhibitor	BE0000704	P01375	Tumor necrosis factor
DB00066	Follitropin	agonist	BE0000387	P23945	Follicle-stimulating hormone receptor
DB00067	Vasopressin	agonist	BE0000293	P30518	Vasopressin V2 receptor
DB00067	Vasopressin		BE0000165	P37288	Vasopressin V1a receptor
DB00067	Vasopressin		BE0000773	P47901	Vasopressin V1b receptor
DB00068	Interferon beta-1b	agonist	BE0000661	P17181	Interferon alpha/beta receptor 1
DB00068	Interferon beta-1b	agonist	BE0000385	P48551	Interferon alpha/beta receptor 2
DB00069	Interferon alfacon-1	binder	BE0000661	P17181	Interferon alpha/beta receptor 1
DB00069	Interferon alfacon-1	binder	BE0000385	P48551	Interferon alpha/beta receptor 2
DB00070	Hyaluronidase	other	BE0004821		Hyaluronan
DB00070	Hyaluronidase	inhibitor	BE0000984	P01137	Transforming growth factor beta-1
DB00071	Insulin Pork	binder	BE0000033	P06213	Insulin receptor
DB00071	Insulin Pork		BE0000858	P08069	Insulin-like growth factor 1 receptor
DB00071	Insulin Pork		BE0001183	P14735	Insulin-degrading enzyme
DB00071	Insulin Pork		BE0002122	P01906	HLA class II histocompatibility antigen, DQ alpha 2 chain
DB00071	Insulin Pork		BE0004466	P01920	HLA class II histocompatibility antigen, DQ beta 1 chain
DB00071	Insulin Pork		BE0002123	P06400	Retinoblastoma-associated protein
DB00071	Insulin Pork		BE0000941	P07339	Cathepsin D
DB00071	Insulin Pork		BE0001123	P16870	Carboxypeptidase E
DB00071	Insulin Pork		BE0002124	P16519	Neuroendocrine convertase 2
DB00071	Insulin Pork		BE0002125	P29120	Neuroendocrine convertase 1
DB00071	Insulin Pork		BE0001147	P48745	Protein NOV homolog
DB00071	Insulin Pork		BE0000942	P98164	Low-density lipoprotein receptor-related protein 2
DB00071	Insulin Pork		BE0002126	Q16270	Insulin-like growth factor-binding protein 7
DB00071	Insulin Pork		BE0002127	Q96C24	Synaptotagmin-like protein 4
DB00072	Trastuzumab	antibody	BE0000511	P04626	Receptor tyrosine-protein kinase erbB-2
DB00072	Trastuzumab		BE0000767	P00533	Epidermal growth factor receptor
DB00072	Trastuzumab		BE0002093	P00736	Complement C1r subcomponent
DB00072	Trastuzumab		BE0002094	P02745	Complement C1q subcomponent subunit A
DB00072	Trastuzumab		BE0002095	P02746	Complement C1q subcomponent subunit B
DB00072	Trastuzumab		BE0002096	P02747	Complement C1q subcomponent subunit C
DB00072	Trastuzumab		BE0001529	P09871	Complement C1s subcomponent
DB00072	Trastuzumab		BE0000710	P12314	High affinity immunoglobulin gamma Fc receptor I
DB00072	Trastuzumab		BE0002098	P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
DB00072	Trastuzumab		BE0002099	P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
DB00072	Trastuzumab		BE0002100	P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
DB00072	Trastuzumab		BE0000901	O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
DB00072	Trastuzumab		BE0002097	P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
DB00073	Rituximab	antibody	BE0000066	P11836	B-lymphocyte antigen CD20
DB00073	Rituximab		BE0000901	O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
DB00073	Rituximab		BE0002093	P00736	Complement C1r subcomponent
DB00073	Rituximab		BE0002094	P02745	Complement C1q subcomponent subunit A
DB00073	Rituximab		BE0002095	P02746	Complement C1q subcomponent subunit B
DB00073	Rituximab		BE0002096	P02747	Complement C1q subcomponent subunit C
DB00073	Rituximab		BE0002097	P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
DB00073	Rituximab		BE0001529	P09871	Complement C1s subcomponent
DB00073	Rituximab		BE0000710	P12314	High affinity immunoglobulin gamma Fc receptor I
DB00073	Rituximab		BE0002098	P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
DB00073	Rituximab		BE0002099	P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
DB00073	Rituximab		BE0002100	P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
DB00074	Basiliximab	antibody	BE0000658	P01589	Interleukin-2 receptor subunit alpha
DB00074	Basiliximab	antibody	BE0000651	P14784	Interleukin-2 receptor subunit beta
DB00074	Basiliximab		BE0000710	P12314	High affinity immunoglobulin gamma Fc receptor I
DB00074	Basiliximab		BE0002097	P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
DB00074	Basiliximab		BE0002098	P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
DB00074	Basiliximab		BE0002099	P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
DB00074	Basiliximab		BE0002100	P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
DB00074	Basiliximab		BE0000901	O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
DB00074	Basiliximab		BE0001529	P09871	Complement C1s subcomponent
DB00074	Basiliximab		BE0002093	P00736	Complement C1r subcomponent
DB00074	Basiliximab		BE0002094	P02745	Complement C1q subcomponent subunit A
DB00074	Basiliximab		BE0002095	P02746	Complement C1q subcomponent subunit B
DB00074	Basiliximab		BE0002096	P02747	Complement C1q subcomponent subunit C
DB00075	Muromonab		BE0003456	P04234	T-cell surface glycoprotein CD3 delta chain
DB00075	Muromonab	binder	BE0000274	P07766	T-cell surface glycoprotein CD3 epsilon chain
DB00075	Muromonab		BE0003457	P09693	T-cell surface glycoprotein CD3 gamma chain
DB00075	Muromonab		BE0003458	P20963	T-cell surface glycoprotein CD3 zeta chain
DB00075	Muromonab		BE0000901	O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
DB00075	Muromonab		BE0002093	P00736	Complement C1r subcomponent
DB00075	Muromonab		BE0002094	P02745	Complement C1q subcomponent subunit A
DB00075	Muromonab		BE0002095	P02746	Complement C1q subcomponent subunit B
DB00075	Muromonab		BE0002096	P02747	Complement C1q subcomponent subunit C
DB00075	Muromonab		BE0002097	P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
DB00075	Muromonab		BE0001529	P09871	Complement C1s subcomponent
DB00075	Muromonab		BE0000710	P12314	High affinity immunoglobulin gamma Fc receptor I
DB00075	Muromonab		BE0002098	P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
DB00075	Muromonab		BE0002099	P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
DB00075	Muromonab		BE0002100	P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
DB00076	Digoxin Immune Fab (Ovine)	other/unknown	BE0004837		Digoxin
DB00078	Ibritumomab tiuxetan	antibody	BE0000066	P11836	B-lymphocyte antigen CD20
DB00078	Ibritumomab tiuxetan		BE0000901	O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
DB00078	Ibritumomab tiuxetan		BE0002093	P00736	Complement C1r subcomponent
DB00078	Ibritumomab tiuxetan		BE0002094	P02745	Complement C1q subcomponent subunit A
DB00078	Ibritumomab tiuxetan		BE0002095	P02746	Complement C1q subcomponent subunit B
DB00078	Ibritumomab tiuxetan		BE0002096	P02747	Complement C1q subcomponent subunit C
DB00078	Ibritumomab tiuxetan		BE0002097	P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
DB00078	Ibritumomab tiuxetan		BE0001529	P09871	Complement C1s subcomponent
DB00078	Ibritumomab tiuxetan		BE0000710	P12314	High affinity immunoglobulin gamma Fc receptor I
DB00078	Ibritumomab tiuxetan		BE0002098	P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
DB00078	Ibritumomab tiuxetan		BE0002099	P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
DB00078	Ibritumomab tiuxetan		BE0002100	P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
DB00080	Daptomycin	incorporation into and destabilization	BE0004833		Bacterial outer membrane
DB00080	Daptomycin	inhibitor	BE0004832		Lipoteichoic acid synthesis
DB00081	Tositumomab	antibody	BE0000066	P11836	B-lymphocyte antigen CD20
DB00081	Tositumomab		BE0000901	O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
DB00081	Tositumomab		BE0002093	P00736	Complement C1r subcomponent
DB00081	Tositumomab		BE0002094	P02745	Complement C1q subcomponent subunit A
DB00081	Tositumomab		BE0002095	P02746	Complement C1q subcomponent subunit B
DB00081	Tositumomab		BE0002096	P02747	Complement C1q subcomponent subunit C
