Symbol	GOID	GOTerm	qualifier	CLID	name
LGALS9	GO:0042346	positive regulation of NF-kappaB import into nucleus	occurs_in	CL:0001056	dendritic cell, human
LGALS9	GO:0046007	negative regulation of activated T cell proliferation	acts_on_population_of	CL:0000134	mesenchymal stem cell
LGALS9	GO:0046598	positive regulation of viral entry into host cell	acts_on_population_of	CL:0000084	T cell
LGALS9	GO:0048030	disaccharide binding	acts_on_population_of	CL:0000840	immature conventional dendritic cell
LGALS9	GO:0050718	positive regulation of interleukin-1 beta secretion	occurs_in	CL:2000001	peripheral blood mononuclear cell
LGALS9	GO:0051092	positive regulation of NF-kappaB transcription factor activity	occurs_in	CL:0001056	dendritic cell, human
LGALS9	GO:0060135	maternal process involved in female pregnancy	occurs_in	CL:0000351	trophoblast cell
LGALS9	GO:0070241	positive regulation of activated T cell autonomous cell death	occurs_in	CL:0001049	activated CD8-positive, alpha-beta T cell, human
LGALS9	GO:0070371	ERK1 and ERK2 cascade	acts_on_population_of	CL:0000840	immature conventional dendritic cell
LGALS9	GO:0070374	positive regulation of ERK1 and ERK2 cascade	occurs_in	CL:0000097	mast cell
LGALS9	GO:0070374	positive regulation of ERK1 and ERK2 cascade	occurs_in	CL:0001056	dendritic cell, human
LGALS9	GO:0070555	response to interleukin-1	occurs_in	CL:0000134	mesenchymal stem cell
LGALS9	GO:0071346	cellular response to interferon-gamma	occurs_in	CL:0000134	mesenchymal stem cell
LGALS9	GO:0071636	positive regulation of transforming growth factor beta production	acts_on_population_of	CL:2000001	peripheral blood mononuclear cell
LGALS9	GO:0071636	positive regulation of transforming growth factor beta production	acts_on_population_of	CL:0000576	monocyte
LGALS9	GO:0071639	positive regulation of monocyte chemotactic protein-1 production	occurs_in	CL:0000097	mast cell
LGALS9	GO:0098586	cellular response to virus	occurs_in	CL:0001056	dendritic cell, human
LGALS9	GO:1902715	positive regulation of interferon-gamma secretion	occurs_in	CL:2000001	peripheral blood mononuclear cell
LGALS9	GO:1902715	positive regulation of interferon-gamma secretion	occurs_in	CL:0000842	mononuclear cell
LGALS9	GO:1904469	positive regulation of tumor necrosis factor secretion	occurs_in	CL:2000001	peripheral blood mononuclear cell
LGALS9	GO:1904469	positive regulation of tumor necrosis factor secretion	occurs_in	CL:0000842	mononuclear cell
LGALS9	GO:2000484	positive regulation of interleukin-8 secretion	occurs_in	CL:0000097	mast cell
LGALS9	GO:2000563	positive regulation of CD4-positive, alpha-beta T cell proliferation	has_agent	CL:0000782	myeloid dendritic cell
LGALS9	GO:2000667	positive regulation of interleukin-13 secretion	occurs_in	CL:2000001	peripheral blood mononuclear cell
LGALS9	GO:2000670	positive regulation of dendritic cell apoptotic process	acts_on_population_of	CL:0000840	immature conventional dendritic cell
LGALS9	GO:2000778	positive regulation of interleukin-6 secretion	occurs_in	CL:0000097	mast cell
LGALS9	GO:2001181	positive regulation of interleukin-10 secretion	occurs_in	CL:0000084	T cell
LGALS9	GO:2001181	positive regulation of interleukin-10 secretion	occurs_in	CL:0001056	dendritic cell, human
LGALS9	GO:2001181	positive regulation of interleukin-10 secretion	occurs_in	CL:2000001	peripheral blood mononuclear cell
LGALS9	GO:2001184	positive regulation of interleukin-12 secretion	acts_on_population_of	CL:0000782	myeloid dendritic cell
LGALS9	GO:2001184	positive regulation of interleukin-12 secretion	occurs_in	CL:0001056	dendritic cell, human
LGALS9	GO:2001190	positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	has_agent	CL:0000782	myeloid dendritic cell
LGALS9	GO:2001200	positive regulation of dendritic cell differentiation	acts_on_population_of	CL:0000782	myeloid dendritic cell
LGALS9	GO:2001269	positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	occurs_in	CL:0000097	mast cell
TLR4	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	occurs_in	CL:0000235	macrophage
TLR4	GO:0005102	receptor binding	occurs_in	CL:0000576	monocyte
TLR4	GO:0005102	receptor binding	occurs_in	CL:0000576	monocyte
TLR4	GO:0010628	positive regulation of gene expression	regulates_o_occurs_in	CL:0000129	microglial cell
TLR4	GO:0010628	positive regulation of gene expression	regulates_o_occurs_in	CL:0000129	microglial cell
TLR4	GO:0010628	positive regulation of gene expression	regulates_o_occurs_in	CL:0000235	macrophage
TLR4	GO:0010628	positive regulation of gene expression	regulates_o_occurs_in	CL:0000235	macrophage
TLR4	GO:0010628	positive regulation of gene expression	regulates_o_occurs_in	CL:0000235	macrophage
TLR4	GO:0010628	positive regulation of gene expression	regulates_o_occurs_in	CL:0000235	macrophage
TLR4	GO:0010628	positive regulation of gene expression	occurs_in	CL:0000134	mesenchymal stem cell
TLR4	GO:0035666	TRIF-dependent toll-like receptor signaling pathway	occurs_in	CL:0000235	macrophage
TLR4	GO:0045429	positive regulation of nitric oxide biosynthetic process	regulates_o_occurs_in	CL:0000129	microglial cell
TLR4	GO:0051092	positive regulation of NF-kappaB transcription factor activity	regulates_o_occurs_in	CL:0000235	macrophage
TLR4	GO:0140052	cellular response to oxidised low-density lipoprotein particle stimulus	occurs_in	CL:0000235	macrophage
TLR4	GO:1900017	positive regulation of cytokine production involved in inflammatory response	regulates_o_occurs_in	CL:0000235	macrophage
TLR4	GO:1903223	positive regulation of oxidative stress-induced neuron death	regulates_o_occurs_in	CL:0000540	neuron
TLR4	GO:1903223	positive regulation of oxidative stress-induced neuron death	occurs_in	CL:0000129	microglial cell
TLR4	GO:1903428	positive regulation of reactive oxygen species biosynthetic process	regulates_o_occurs_in	CL:0000235	macrophage
HAS3	GO:0030213	hyaluronan biosynthetic process	occurs_in	CL:0002306	epithelial cell of proximal tubule
HAS3	GO:0045893	positive regulation of transcription, DNA-templated	occurs_in	CL:0002306	epithelial cell of proximal tubule
HAS3	GO:0050501	hyaluronan synthase activity	occurs_in	CL:0002306	epithelial cell of proximal tubule
PIK3R2	GO:0043409	negative regulation of MAPK cascade	occurs_in	CL:0002139	endothelial cell of vascular tree
CLDN5	GO:0007043	cell-cell junction assembly	occurs_in	CL:2000008	microvascular endothelial cell
CLDN5	GO:0007179	transforming growth factor beta receptor signaling pathway	occurs_in	CL:1001602	cerebral cortex endothelial cell
CLDN5	GO:1903142	positive regulation of establishment of endothelial barrier	occurs_in	CL:2000008	microvascular endothelial cell
CCL21	GO:0001954	positive regulation of cell-matrix adhesion	acts_on_population_of	CL:0000084	T cell
CCL21	GO:0007186	G-protein coupled receptor signaling pathway	occurs_in	CL:0000084	T cell
CCL21	GO:0008009	chemokine activity	acts_on_population_of	CL:0000084	T cell
CCL21	GO:0060326	cell chemotaxis	acts_on_population_of	CL:0000084	T cell
CCL21	GO:1903237	negative regulation of leukocyte tethering or rolling	acts_on_population_of	CL:0000084	T cell
FCN1	GO:0033691	sialic acid binding	occurs_in	CL:0000842	mononuclear cell
FCN1	GO:0033691	sialic acid binding	occurs_in	CL:0000094	granulocyte
FCN1	GO:0034394	protein localization to cell surface	occurs_in	CL:0000094	granulocyte
FCN1	GO:0034394	protein localization to cell surface	occurs_in	CL:0000842	mononuclear cell
WNT7A	GO:0060997	dendritic spine morphogenesis	occurs_in	CL:0002608	hippocampal neuron
WNT7A	GO:1904891	positive regulation of excitatory synapse assembly	occurs_in	CL:0002608	hippocampal neuron
WNT7A	GO:2000463	positive regulation of excitatory postsynaptic potential	occurs_in	CL:0002608	hippocampal neuron
SLC9A3R1	GO:0007097	nuclear migration	occurs_in	CL:0002563	intestinal epithelial cell
SLC9A3R1	GO:0008360	regulation of cell shape	occurs_in	CL:0002563	intestinal epithelial cell
SLC9A3R1	GO:0008361	regulation of cell size	occurs_in	CL:0002563	intestinal epithelial cell
SLC9A3R1	GO:0035414	negative regulation of catenin import into nucleus	occurs_in	CL:0002563	intestinal epithelial cell
SLC9A3R1	GO:0045198	establishment of epithelial cell apical/basal polarity	occurs_in	CL:0002563	intestinal epithelial cell
SLC9A3R1	GO:0045930	negative regulation of mitotic cell cycle	occurs_in	CL:0002563	intestinal epithelial cell
SLC9A3R1	GO:0051683	establishment of Golgi localization	occurs_in	CL:0002563	intestinal epithelial cell
TERT	GO:0010629	negative regulation of gene expression	occurs_in	CL:0002544	aortic endothelial cell
TERT	GO:0051000	positive regulation of nitric-oxide synthase activity	occurs_in	CL:0002544	aortic endothelial cell
TERT	GO:0071456	cellular response to hypoxia	occurs_in	CL:0000359	vascular associated smooth muscle cell
TERT	GO:2000648	positive regulation of stem cell proliferation	occurs_in	CL:1000428	stem cell of epidermis
TERT	GO:2000773	negative regulation of cellular senescence	occurs_in	CL:0000359	vascular associated smooth muscle cell
TERT	GO:2000773	negative regulation of cellular senescence	occurs_in	CL:0002544	aortic endothelial cell
MEIS2	GO:0110024	positive regulation of cardiac muscle myoblast proliferation	acts_on_population_of	CL:0002495	fetal cardiomyocyte
TPP1	GO:0030855	epithelial cell differentiation	results_in_acquisition_of_features_of	CL:1000334	enterocyte of epithelium of small intestine
NRP1	GO:0001525	angiogenesis	occurs_in	CL:0002618	endothelial cell of umbilical vein
NRP1	GO:0001569	branching involved in blood vessel morphogenesis	part_of	CL:0000115	endothelial cell
NRP1	GO:0002042	cell migration involved in sprouting angiogenesis	occurs_in	CL:0000115	endothelial cell
NRP1	GO:0005021	vascular endothelial growth factor-activated receptor activity	occurs_in	CL:0000740	retinal ganglion cell
NRP1	GO:0005515	protein binding	occurs_in	CL:0000115	endothelial cell
NRP1	GO:0005515	protein binding	occurs_in	CL:0000115	endothelial cell
NRP1	GO:0006930	substrate-dependent cell migration, cell extension	occurs_in	CL:0000115	endothelial cell
NRP1	GO:0007229	integrin-mediated signaling pathway	occurs_in	CL:0000115	endothelial cell
NRP1	GO:0031532	actin cytoskeleton reorganization	occurs_in	CL:0000115	endothelial cell
NRP1	GO:0034446	substrate adhesion-dependent cell spreading	part_of	CL:0000115	endothelial cell
NRP1	GO:0035767	endothelial cell chemotaxis	occurs_in	CL:0002618	endothelial cell of umbilical vein
NRP1	GO:0038189	neuropilin signaling pathway	occurs_in	CL:0000115	endothelial cell
NRP1	GO:0042327	positive regulation of phosphorylation	occurs_in	CL:0000115	endothelial cell
NRP1	GO:0048842	positive regulation of axon extension involved in axon guidance	occurs_in	CL:0000740	retinal ganglion cell
NRP1	GO:0050918	positive chemotaxis	occurs_in	CL:0000740	retinal ganglion cell
NRP1	GO:0071679	commissural neuron axon guidance	occurs_in	CL:0000740	retinal ganglion cell
NRP1	GO:0097102	endothelial tip cell fate specification	occurs_in	CL:0000704	endothelial tip cell
RASGRF2	GO:0005088	Ras guanyl-nucleotide exchange factor activity	occurs_in	CL:0002139	endothelial cell of vascular tree
RASGRF2	GO:0034976	response to endoplasmic reticulum stress	occurs_in	CL:0002139	endothelial cell of vascular tree
IKBKB	GO:0007249	I-kappaB kinase/NF-kappaB signaling	occurs_in	CL:2000008	microvascular endothelial cell
IKBKB	GO:0030866	cortical actin cytoskeleton organization	occurs_in	CL:2000008	microvascular endothelial cell
IKBKB	GO:0033209	tumor necrosis factor-mediated signaling pathway	occurs_in	CL:2000008	microvascular endothelial cell
IKBKB	GO:0035509	negative regulation of myosin-light-chain-phosphatase activity	occurs_in	CL:2000008	microvascular endothelial cell
IKBKB	GO:0070498	interleukin-1-mediated signaling pathway	occurs_in	CL:2000008	microvascular endothelial cell
IKBKB	GO:0072659	protein localization to plasma membrane	occurs_in	CL:2000008	microvascular endothelial cell
IKBKB	GO:1903140	regulation of establishment of endothelial barrier	occurs_in	CL:2000008	microvascular endothelial cell
IKBKB	GO:1903347	negative regulation of bicellular tight junction assembly	occurs_in	CL:2000008	microvascular endothelial cell
CASQ2	GO:0010649	regulation of cell communication by electrical coupling	occurs_in	CL:0000746	cardiac muscle cell
CASQ2	GO:0051208	sequestering of calcium ion	occurs_in	CL:0000746	cardiac muscle cell
RAB29	GO:0001921	positive regulation of receptor recycling	occurs_in	CL:0000084	T cell
RAB29	GO:0001921	positive regulation of receptor recycling	occurs_in	CL:0000084	T cell
RAB29	GO:0007416	synapse assembly	occurs_in	CL:0000084	T cell
RAB29	GO:0010977	negative regulation of neuron projection development	occurs_in	CL:0002609	neuron of cerebral cortex
RAB29	GO:0019894	kinesin binding	occurs_in	CL:0000084	T cell
RAB29	GO:0050862	positive regulation of T cell receptor signaling pathway	occurs_in	CL:0000084	T cell
RAB29	GO:0070840	dynein complex binding	occurs_in	CL:0000084	T cell
RAB29	GO:1901214	regulation of neuron death	occurs_in	CL:0000700	dopaminergic neuron
PPP1R12A	GO:0035508	positive regulation of myosin-light-chain-phosphatase activity	occurs_in	CL:2000008	microvascular endothelial cell
GAK	GO:0010977	negative regulation of neuron projection development	occurs_in	CL:0002609	neuron of cerebral cortex
PLXNB2	GO:0010976	positive regulation of neuron projection development	regulates_o_occurs_in	CL:1001611	cerebellar neuron
SMAD7	GO:0002725	negative regulation of T cell cytokine production	occurs_in	CL:0000492	CD4-positive helper T cell
SMAD7	GO:2000320	negative regulation of T-helper 17 cell differentiation	occurs_in	CL:0000492	CD4-positive helper T cell
ANGPT2	GO:0050928	negative regulation of positive chemotaxis	results_in_movement_of	CL:0000071	blood vessel endothelial cell
PLSCR1	GO:0006915	apoptotic process	occurs_in	CL:0000775	neutrophil
PLSCR1	GO:0017121	phospholipid scrambling	occurs_in	CL:0000232	erythrocyte
PLSCR1	GO:0017121	phospholipid scrambling	occurs_in	CL:0000233	platelet
PLSCR1	GO:0017128	phospholipid scramblase activity	occurs_in	CL:0000232	erythrocyte
PLSCR1	GO:0017128	phospholipid scramblase activity	occurs_in	CL:0000233	platelet
CCL25	GO:0001954	positive regulation of cell-matrix adhesion	acts_on_population_of	CL:0000084	T cell
CCL25	GO:0007186	G-protein coupled receptor signaling pathway	occurs_in	CL:0000084	T cell
CCL25	GO:0008009	chemokine activity	acts_on_population_of	CL:0000084	T cell
CCL25	GO:0060326	cell chemotaxis	acts_on_population_of	CL:0000084	T cell
CCL25	GO:1903237	negative regulation of leukocyte tethering or rolling	acts_on_population_of	CL:0000084	T cell
TLR3	GO:0010628	positive regulation of gene expression	occurs_in	CL:0000134	mesenchymal stem cell
TLR3	GO:0010628	positive regulation of gene expression	occurs_in	CL:0001056	dendritic cell, human
CFLAR	GO:0051092	positive regulation of NF-kappaB transcription factor activity	occurs_in	CL:0000188	cell of skeletal muscle
FGF10	GO:0050679	positive regulation of epithelial cell proliferation	results_in_division_of	CL:0000083	epithelial cell of pancreas
CYP27B1	GO:0004498	calcidiol 1-monooxygenase activity	occurs_in	CL:0000359	vascular associated smooth muscle cell
CYP27B1	GO:0004498	calcidiol 1-monooxygenase activity	occurs_in	CL:0002327	mammary gland epithelial cell
CYP27B1	GO:0004498	calcidiol 1-monooxygenase activity	occurs_in	CL:0000062	osteoblast
CYP27B1	GO:0004498	calcidiol 1-monooxygenase activity	occurs_in	CL:0000312	keratinocyte
CYP27B1	GO:0036378	calcitriol biosynthetic process from calciol	occurs_in	CL:0000359	vascular associated smooth muscle cell
CYP27B1	GO:0036378	calcitriol biosynthetic process from calciol	occurs_in	CL:0002327	mammary gland epithelial cell
CYP27B1	GO:0036378	calcitriol biosynthetic process from calciol	occurs_in	CL:0000062	osteoblast
CYP27B1	GO:0036378	calcitriol biosynthetic process from calciol	occurs_in	CL:0000312	keratinocyte
PDPK1	GO:0007173	epidermal growth factor receptor signaling pathway	occurs_in	CL:0000034	stem cell
PDPK1	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	occurs_in	CL:0000034	stem cell
PDPK1	GO:0071364	cellular response to epidermal growth factor stimulus	occurs_in	CL:0000034	stem cell
ADCY6	GO:0010977	negative regulation of neuron projection development	occurs_in	CL:0002608	hippocampal neuron
FGF16	GO:2000546	positive regulation of endothelial cell chemotaxis to fibroblast growth factor	occurs_in	CL:0002618	endothelial cell of umbilical vein
EEF1E1	GO:2000774	positive regulation of cellular senescence	occurs_in	CL:0000134	mesenchymal stem cell
RIPK2	GO:0005102	receptor binding	occurs_in	CL:0011108	colon epithelial cell
SYNJ1	GO:1904980	positive regulation of endosome organization	occurs_in	CL:0000540	neuron
KLF4	GO:0010628	positive regulation of gene expression	occurs_in	CL:1000413	endothelial cell of artery
KLF4	GO:0010629	negative regulation of gene expression	occurs_in	CL:1000413	endothelial cell of artery
KLF4	GO:0010629	negative regulation of gene expression	occurs_in	CL:1000413	endothelial cell of artery
KLF4	GO:0010629	negative regulation of gene expression	occurs_in	CL:1000413	endothelial cell of artery
KLF4	GO:0032270	positive regulation of cellular protein metabolic process	occurs_in	CL:0002618	endothelial cell of umbilical vein
KLF4	GO:0032270	positive regulation of cellular protein metabolic process	occurs_in	CL:0002618	endothelial cell of umbilical vein
KLF4	GO:0035166	post-embryonic hemopoiesis	occurs_in	CL:0000764	erythroid lineage cell
KLF4	GO:0045429	positive regulation of nitric oxide biosynthetic process	occurs_in	CL:0002618	endothelial cell of umbilical vein
KLF4	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	occurs_in	CL:0002618	endothelial cell of umbilical vein
KLF4	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	occurs_in	CL:0002618	endothelial cell of umbilical vein
KLF4	GO:0046985	positive regulation of hemoglobin biosynthetic process	occurs_in	CL:0000764	erythroid lineage cell
KLF4	GO:0071499	cellular response to laminar fluid shear stress	occurs_in	CL:0002618	endothelial cell of umbilical vein
KLF4	GO:0090051	negative regulation of cell migration involved in sprouting angiogenesis	occurs_in	CL:0002618	endothelial cell of umbilical vein
SPRY2	GO:0030335	positive regulation of cell migration	regulates_o_results_in_movement_of	CL:0002619	adult endothelial progenitor cell
SPRY2	GO:0031345	negative regulation of cell projection organization	occurs_in	CL:0002494	cardiocyte
SPRY2	GO:0070373	negative regulation of ERK1 and ERK2 cascade	occurs_in	CL:0002494	cardiocyte
SPRY2	GO:0070373	negative regulation of ERK1 and ERK2 cascade	occurs_in	CL:0002619	adult endothelial progenitor cell
DNPH1	GO:0030855	epithelial cell differentiation	results_in_acquisition_of_features_of	CL:1000334	enterocyte of epithelium of small intestine
SPRY1	GO:0070373	negative regulation of ERK1 and ERK2 cascade	occurs_in	CL:0002548	fibroblast of cardiac tissue
SULT1B1	GO:0030855	epithelial cell differentiation	results_in_acquisition_of_features_of	CL:1000334	enterocyte of epithelium of small intestine
ACTN4	GO:0005515	protein binding	occurs_in	CL:0000653	glomerular visceral epithelial cell
HYAL3	GO:0004415	hyalurononglucosaminidase activity	occurs_in	CL:0002328	bronchial epithelial cell
HYAL3	GO:0006954	inflammatory response	occurs_in	CL:0002328	bronchial epithelial cell
HYAL3	GO:0030214	hyaluronan catabolic process	occurs_in	CL:0000312	keratinocyte
HYAL3	GO:0033906	hyaluronoglucuronidase activity	occurs_in	CL:0000312	keratinocyte
HYAL3	GO:0071347	cellular response to interleukin-1	occurs_in	CL:0002328	bronchial epithelial cell
HYAL3	GO:0071356	cellular response to tumor necrosis factor	occurs_in	CL:0002328	bronchial epithelial cell
HYAL3	GO:0071493	cellular response to UV-B	occurs_in	CL:0000312	keratinocyte
TYROBP	GO:0005102	receptor binding	occurs_in	CL:0000576	monocyte
TYROBP	GO:0005102	receptor binding	occurs_in	CL:0000782	myeloid dendritic cell
SOX15	GO:0030154	cell differentiation	occurs_in	CL:0000351	trophoblast cell
SOX15	GO:0048627	myoblast development	occurs_in	CL:0000515	skeletal muscle myoblast
PRKN	GO:0005515	protein binding	occurs_in	CL:0000530	primary neuron
PRKN	GO:0016567	protein ubiquitination	occurs_in	CL:0000700	dopaminergic neuron
PRKN	GO:0051582	positive regulation of neurotransmitter uptake	occurs_in	CL:0000700	dopaminergic neuron
PRKN	GO:0061630	ubiquitin protein ligase activity	occurs_in	CL:0000540	neuron
PRKN	GO:0070936	protein K48-linked ubiquitination	occurs_in	CL:0000540	neuron
PRKN	GO:1904049	negative regulation of spontaneous neurotransmitter secretion	occurs_in	CL:0000700	dopaminergic neuron
ZEB2	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	occurs_in	CL:0002618	endothelial cell of umbilical vein
PPL	GO:0009612	response to mechanical stimulus	occurs_in	CL:0000359	vascular associated smooth muscle cell
SYNCRIP	GO:0001649	osteoblast differentiation	acts_on_population_of	CL:0000134	mesenchymal stem cell
CIDEA	GO:0010890	positive regulation of sequestering of triglyceride	occurs_in	CL:0000449	brown fat cell
TLR2	GO:0010628	positive regulation of gene expression	occurs_in	CL:0000134	mesenchymal stem cell
TLR2	GO:0014005	microglia development	has_agent	CL:0002092	bone marrow cell
TLR2	GO:0032403	protein complex binding	occurs_in	CL:0000129	microglial cell
TLR2	GO:0032640	tumor necrosis factor production	has_agent	CL:0002092	bone marrow cell
TLR2	GO:2000484	positive regulation of interleukin-8 secretion	occurs_in	CL:0002321	embryonic cell
TLR2	GO:2000484	positive regulation of interleukin-8 secretion	occurs_in	CL:1000497	kidney cell
TSPAN1	GO:0005515	protein binding	occurs_in	CL:0000066	epithelial cell
TSPAN1	GO:0050821	protein stabilization	occurs_in	CL:0000066	epithelial cell
SLC19A2	GO:0005515	protein binding	occurs_in	CL:0000066	epithelial cell
NOS1AP	GO:0010628	positive regulation of gene expression	occurs_in	CL:0002131	regular ventricular cardiac myocyte
NOS1AP	GO:0010750	positive regulation of nitric oxide mediated signal transduction	occurs_in	CL:0002131	regular ventricular cardiac myocyte
NOS1AP	GO:0045429	positive regulation of nitric oxide biosynthetic process	occurs_in	CL:0002131	regular ventricular cardiac myocyte
NOS1AP	GO:0051000	positive regulation of nitric-oxide synthase activity	occurs_in	CL:0002131	regular ventricular cardiac myocyte
NOS1AP	GO:1901381	positive regulation of potassium ion transmembrane transport	occurs_in	CL:0002131	regular ventricular cardiac myocyte
NOS1AP	GO:1901841	regulation of high voltage-gated calcium channel activity	occurs_in	CL:0002131	regular ventricular cardiac myocyte
NOS1AP	GO:1901841	regulation of high voltage-gated calcium channel activity	occurs_in	CL:0002495	fetal cardiomyocyte
NOS1AP	GO:1902261	positive regulation of delayed rectifier potassium channel activity	occurs_in	CL:0002131	regular ventricular cardiac myocyte
NOS1AP	GO:1902514	regulation of calcium ion transmembrane transport via high voltage-gated calcium channel	occurs_in	CL:0002131	regular ventricular cardiac myocyte
NOS1AP	GO:2000170	positive regulation of peptidyl-cysteine S-nitrosylation	occurs_in	CL:0002495	fetal cardiomyocyte
ROCK2	GO:0007249	I-kappaB kinase/NF-kappaB signaling	occurs_in	CL:2000008	microvascular endothelial cell
ROCK2	GO:0030866	cortical actin cytoskeleton organization	occurs_in	CL:2000008	microvascular endothelial cell
ROCK2	GO:0030866	cortical actin cytoskeleton organization	occurs_in	CL:2000008	microvascular endothelial cell
ROCK2	GO:0035509	negative regulation of myosin-light-chain-phosphatase activity	occurs_in	CL:2000008	microvascular endothelial cell
ROCK2	GO:0035509	negative regulation of myosin-light-chain-phosphatase activity	occurs_in	CL:2000008	microvascular endothelial cell
ROCK2	GO:0072659	protein localization to plasma membrane	occurs_in	CL:2000008	microvascular endothelial cell
ROCK2	GO:0072659	protein localization to plasma membrane	occurs_in	CL:2000008	microvascular endothelial cell
ROCK2	GO:1903140	regulation of establishment of endothelial barrier	occurs_in	CL:2000008	microvascular endothelial cell
ROCK2	GO:1903140	regulation of establishment of endothelial barrier	occurs_in	CL:2000008	microvascular endothelial cell
ROCK2	GO:1903347	negative regulation of bicellular tight junction assembly	occurs_in	CL:2000008	microvascular endothelial cell
CLASP2	GO:0006903	vesicle targeting	occurs_in	CL:0000066	epithelial cell
CLASP2	GO:0010470	regulation of gastrulation	occurs_in	CL:0000352	epiblast cell
CLASP2	GO:0010717	regulation of epithelial to mesenchymal transition	occurs_in	CL:0000352	epiblast cell
CLASP2	GO:0045921	positive regulation of exocytosis	occurs_in	CL:0000066	epithelial cell
CLASP2	GO:0051497	negative regulation of stress fiber assembly	occurs_in	CL:0000066	epithelial cell
CLASP2	GO:0051895	negative regulation of focal adhesion assembly	occurs_in	CL:0000066	epithelial cell
