id,name,hgnc_id,drug_id
BE0001529,Complement C1s subcomponent,HGNC:1247,DB00005
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00005
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00005
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00005
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00005
BE0000048,Prothrombin,HGNC:3535,DB00006
BE0000203,Gonadotropin-releasing hormone receptor,HGNC:4421,DB00007
BE0000385,Interferon alpha/beta receptor 2,HGNC:5433,DB00008
BE0000661,Interferon alpha/beta receptor 1,HGNC:5432,DB00008
BE0000211,Plasminogen,HGNC:9071,DB00009
BE0000538,Fibrinogen alpha chain,HGNC:3661,DB00009
BE0000717,Urokinase plasminogen activator surface receptor,HGNC:9053,DB00009
BE0000240,Plasminogen activator inhibitor 1,HGNC:8583,DB00009
BE0000625,Growth hormone-releasing hormone receptor,HGNC:4266,DB00010
BE0000385,Interferon alpha/beta receptor 2,HGNC:5433,DB00011
BE0000661,Interferon alpha/beta receptor 1,HGNC:5432,DB00011
BE0000654,Erythropoietin receptor,HGNC:3416,DB00012
BE0000211,Plasminogen,HGNC:9071,DB00013
BE0000717,Urokinase plasminogen activator surface receptor,HGNC:9053,DB00013
BE0000895,Urokinase-type plasminogen activator,HGNC:9052,DB00013
BE0001088,Tissue-type plasminogen activator,HGNC:9051,DB00013
BE0000240,Plasminogen activator inhibitor 1,HGNC:8583,DB00013
BE0000969,Plasminogen activator inhibitor 2,HGNC:8584,DB00013
BE0002112,Plasma serine protease inhibitor,HGNC:8723,DB00013
BE0000942,Low-density lipoprotein receptor-related protein 2,HGNC:6694,DB00013
BE0001656,Suppressor of tumorigenicity 14 protein,HGNC:11344,DB00013
BE0002113,Nidogen-1,HGNC:7821,DB00013
BE0000134,Lutropin-choriogonadotropic hormone receptor,HGNC:6585,DB00014
BE0000203,Gonadotropin-releasing hormone receptor,HGNC:4421,DB00014
BE0000211,Plasminogen,HGNC:9071,DB00015
BE0000538,Fibrinogen alpha chain,HGNC:3661,DB00015
BE0000717,Urokinase plasminogen activator surface receptor,HGNC:9053,DB00015
BE0000240,Plasminogen activator inhibitor 1,HGNC:8583,DB00015
BE0000654,Erythropoietin receptor,HGNC:3416,DB00016
BE0000431,Calcitonin receptor,HGNC:1440,DB00017
BE0000661,Interferon alpha/beta receptor 1,HGNC:5432,DB00018
BE0000385,Interferon alpha/beta receptor 2,HGNC:5433,DB00018
BE0000793,Granulocyte colony-stimulating factor receptor,HGNC:2439,DB00019
BE0000394,Neutrophil elastase,HGNC:3309,DB00019
BE0000628,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,HGNC:2435,DB00020
BE0001036,Interleukin-3 receptor subunit alpha,HGNC:6012,DB00020
BE0002115,Cytokine receptor common subunit beta,HGNC:2436,DB00020
BE0002116,Syndecan-2,HGNC:10659,DB00020
BE0002114,Bone marrow proteoglycan,HGNC:9362,DB00020
BE0000318,Secretin receptor,HGNC:10608,DB00021
BE0000661,Interferon alpha/beta receptor 1,HGNC:5432,DB00022
BE0000385,Interferon alpha/beta receptor 2,HGNC:5433,DB00022
BE0004798,L-asparagine,,DB00023
BE0000490,Thyrotropin receptor,HGNC:12373,DB00024
BE0000216,Coagulation factor X,HGNC:3528,DB00025
BE0000364,Coagulation factor IX,HGNC:3551,DB00025
BE0001043,von Willebrand factor,HGNC:12726,DB00025
BE0002117,"Phytanoyl-CoA dioxygenase, peroxisomal",HGNC:8940,DB00025
BE0002118,Asialoglycoprotein receptor 2,HGNC:743,DB00025
BE0001098,78 kDa glucose-regulated protein,HGNC:5238,DB00025
BE0002109,Calreticulin,HGNC:1455,DB00025
BE0001011,Calnexin,HGNC:1473,DB00025
BE0002119,Protein ERGIC-53,HGNC:6631,DB00025
BE0002110,Prolow-density lipoprotein receptor-related protein 1,HGNC:6692,DB00025
BE0002120,Multiple coagulation factor deficiency protein 2,HGNC:18451,DB00025
BE0000565,Interleukin-1 receptor type 1,HGNC:5993,DB00026
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00028
BE0004684,High affinity immunoglobulin gamma Fc receptor IB,HGNC:3614,DB00028
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00028
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00028
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00028
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00028
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00028
BE0003455,Complement C3,HGNC:1318,DB00028
BE0004685,Complement C4-A,HGNC:1323,DB00028
BE0004686,Complement C4-B,HGNC:1324,DB00028
BE0000855,Complement C5,HGNC:1331,DB00028
BE0000211,Plasminogen,HGNC:9071,DB00029
BE0000538,Fibrinogen alpha chain,HGNC:3661,DB00029
BE0000717,Urokinase plasminogen activator surface receptor,HGNC:9053,DB00029
BE0000240,Plasminogen activator inhibitor 1,HGNC:8583,DB00029
BE0000033,Insulin receptor,HGNC:6091,DB00030
BE0000858,Insulin-like growth factor 1 receptor,HGNC:5465,DB00030
BE0002123,Retinoblastoma-associated protein,HGNC:9884,DB00030
BE0000941,Cathepsin D,HGNC:2529,DB00030
BE0001183,Insulin-degrading enzyme,HGNC:5381,DB00030
BE0002124,Neuroendocrine convertase 2,HGNC:8744,DB00030
BE0001123,Carboxypeptidase E,HGNC:2303,DB00030
BE0002125,Neuroendocrine convertase 1,HGNC:8743,DB00030
BE0001147,Protein NOV homolog,HGNC:7885,DB00030
BE0000942,Low-density lipoprotein receptor-related protein 2,HGNC:6694,DB00030
BE0002126,Insulin-like growth factor-binding protein 7,HGNC:5476,DB00030
BE0002127,Synaptotagmin-like protein 4,HGNC:15588,DB00030
BE0000211,Plasminogen,HGNC:9071,DB00031
BE0000538,Fibrinogen alpha chain,HGNC:3661,DB00031
BE0000717,Urokinase plasminogen activator surface receptor,HGNC:9053,DB00031
BE0000240,Plasminogen activator inhibitor 1,HGNC:8583,DB00031
BE0000969,Plasminogen activator inhibitor 2,HGNC:8584,DB00031
BE0002104,Tetranectin,HGNC:11891,DB00031
BE0002105,"Keratin, type II cytoskeletal 8",HGNC:6446,DB00031
BE0001170,Annexin A2,HGNC:537,DB00031
BE0002109,Calreticulin,HGNC:1455,DB00031
BE0001011,Calnexin,HGNC:1473,DB00031
BE0002110,Prolow-density lipoprotein receptor-related protein 1,HGNC:6692,DB00031
BE0000387,Follicle-stimulating hormone receptor,HGNC:3969,DB00032
BE0000134,Lutropin-choriogonadotropic hormone receptor,HGNC:6585,DB00032
BE0000711,Interferon gamma receptor 1,HGNC:5439,DB00033
BE0000467,Interferon gamma receptor 2,HGNC:5440,DB00033
BE0000661,Interferon alpha/beta receptor 1,HGNC:5432,DB00034
BE0000385,Interferon alpha/beta receptor 2,HGNC:5433,DB00034
BE0000293,Vasopressin V2 receptor,HGNC:897,DB00035
BE0000165,Vasopressin V1a receptor,HGNC:895,DB00035
BE0000773,Vasopressin V1b receptor,HGNC:896,DB00035
BE0000216,Coagulation factor X,HGNC:3528,DB00036
BE0002128,Serine protease hepsin,HGNC:5155,DB00036
BE0000967,Tissue factor pathway inhibitor,HGNC:11760,DB00036
BE0000403,Vitamin K-dependent gamma-carboxylase,HGNC:4247,DB00036
BE0000333,Coagulation factor VII,HGNC:3544,DB00036
BE0001178,Tissue factor,HGNC:3541,DB00036
BE0000416,Interleukin-11 receptor subunit alpha,HGNC:5967,DB00038
BE0000748,Fibroblast growth factor receptor 2,HGNC:3689,DB00039
BE0002129,Neuropilin-1,HGNC:8004,DB00039
BE0002131,Fibroblast growth factor receptor 1,HGNC:3688,DB00039
BE0001203,Fibroblast growth factor receptor 4,HGNC:3691,DB00039
BE0002133,Fibroblast growth factor receptor 3,HGNC:3690,DB00039
BE0001031,Basement membrane-specific heparan sulfate proteoglycan core protein,HGNC:5273,DB00039
BE0000527,Glucagon receptor,HGNC:4192,DB00040
BE0002134,Glucagon-like peptide 2 receptor,HGNC:4325,DB00040
BE0000857,Glucagon-like peptide 1 receptor,HGNC:4324,DB00040
BE0000651,Interleukin-2 receptor subunit beta,HGNC:6009,DB00041
BE0000658,Interleukin-2 receptor subunit alpha,HGNC:6008,DB00041
BE0002102,Cytokine receptor common subunit gamma,HGNC:6010,DB00041
BE0002137,Vesicle-associated membrane protein 2,HGNC:12643,DB00042
BE0002136,Vesicle-associated membrane protein 1,HGNC:12642,DB00042
BE0002138,Synaptotagmin-2,HGNC:11510,DB00042
BE0000015,High affinity immunoglobulin epsilon receptor subunit alpha,HGNC:3609,DB00043
BE0002139,High affinity immunoglobulin epsilon receptor subunit beta,HGNC:7316,DB00043
BE0000134,Lutropin-choriogonadotropic hormone receptor,HGNC:6585,DB00044
BE0001164,Toll-like receptor 2,HGNC:11848,DB00045
BE0000033,Insulin receptor,HGNC:6091,DB00046
BE0000858,Insulin-like growth factor 1 receptor,HGNC:5465,DB00046
BE0000033,Insulin receptor,HGNC:6091,DB00047
BE0000858,Insulin-like growth factor 1 receptor,HGNC:5465,DB00047
BE0000025,Collagen alpha-1(I) chain,HGNC:2197,DB00048
BE0002140,Collagen alpha-1(II) chain,HGNC:2200,DB00048
BE0002130,Collagen alpha-1(III) chain,HGNC:2201,DB00048
BE0002141,Collagen alpha-2(I) chain,HGNC:2198,DB00048
BE0004823,Uric acid,,DB00049
BE0000203,Gonadotropin-releasing hormone receptor,HGNC:4421,DB00050
BE0000134,Lutropin-choriogonadotropic hormone receptor,HGNC:6585,DB00050
BE0000704,Tumor necrosis factor,HGNC:11892,DB00051
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00051
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00051
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00051
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00051
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00051
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00051
BE0001529,Complement C1s subcomponent,HGNC:1247,DB00051
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00051
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00051
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00051
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00051
BE0000075,Growth hormone receptor,HGNC:4263,DB00052
BE0000345,Prolactin receptor,HGNC:9446,DB00052
BE0004806,Glucocerebroside,,DB00053
BE0001155,Integrin beta-3,HGNC:6156,DB00054
BE0000439,Integrin alpha-IIb,HGNC:6138,DB00054
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00054
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00054
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00054
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00054
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00054
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00054
BE0001529,Complement C1s subcomponent,HGNC:1247,DB00054
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00054
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00054
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00054
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00054
BE0001068,Vitronectin,HGNC:12724,DB00054
BE0000016,Coagulation factor VIII,HGNC:3546,DB00055
BE0000041,Coagulation factor V,HGNC:3542,DB00055
BE0000240,Plasminogen activator inhibitor 1,HGNC:8583,DB00055
BE0001151,Thrombomodulin,HGNC:11784,DB00055
BE0000943,Vitamin K-dependent protein S,HGNC:9456,DB00055
BE0001140,Ceruloplasmin,HGNC:2295,DB00055
BE0000048,Prothrombin,HGNC:3535,DB00055
BE0001129,Platelet factor 4,HGNC:8861,DB00055
BE0002112,Plasma serine protease inhibitor,HGNC:8723,DB00055
BE0002142,Serpin B6,HGNC:8950,DB00055
BE0000403,Vitamin K-dependent gamma-carboxylase,HGNC:4247,DB00055
BE0001161,Endothelial protein C receptor,HGNC:9452,DB00055
BE0000674,Myeloid cell surface antigen CD33,HGNC:1659,DB00056
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00056
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00056
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00056
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00056
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00056
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00056
BE0001529,Complement C1s subcomponent,HGNC:1247,DB00056
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00056
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00056
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00056
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00056
BE0004842,Tumor-associated glycoprotein 72 (TAG-72),,DB00057
BE0000394,Neutrophil elastase,HGNC:3309,DB00058
BE0004798,L-asparagine,,DB00059
BE0000661,Interferon alpha/beta receptor 1,HGNC:5432,DB00060
BE0000385,Interferon alpha/beta receptor 2,HGNC:5433,DB00060
BE0004828,Adenosine,,DB00061
BE0000917,Growth factor receptor-bound protein 2,HGNC:4566,DB00061
BE0001119,Apolipoprotein E,HGNC:613,DB00062
BE0004795,Serum amyloid A-1 protein,HGNC:10513,DB00062
BE0000932,Protein AMBP,HGNC:453,DB00062
BE0001155,Integrin beta-3,HGNC:6156,DB00063
BE0000704,Tumor necrosis factor,HGNC:11892,DB00065
BE0000387,Follicle-stimulating hormone receptor,HGNC:3969,DB00066
BE0000293,Vasopressin V2 receptor,HGNC:897,DB00067
BE0000165,Vasopressin V1a receptor,HGNC:895,DB00067
BE0000773,Vasopressin V1b receptor,HGNC:896,DB00067
BE0000661,Interferon alpha/beta receptor 1,HGNC:5432,DB00068
BE0000385,Interferon alpha/beta receptor 2,HGNC:5433,DB00068
BE0000661,Interferon alpha/beta receptor 1,HGNC:5432,DB00069
BE0000385,Interferon alpha/beta receptor 2,HGNC:5433,DB00069
BE0004821,Hyaluronan,,DB00070
BE0000984,Transforming growth factor beta-1,HGNC:11766,DB00070
BE0000033,Insulin receptor,HGNC:6091,DB00071
BE0000858,Insulin-like growth factor 1 receptor,HGNC:5465,DB00071
BE0001183,Insulin-degrading enzyme,HGNC:5381,DB00071
BE0002122,"HLA class II histocompatibility antigen, DQ alpha 2 chain",HGNC:4943,DB00071
BE0004466,"HLA class II histocompatibility antigen, DQ beta 1 chain",HGNC:4944,DB00071
BE0002123,Retinoblastoma-associated protein,HGNC:9884,DB00071
BE0000941,Cathepsin D,HGNC:2529,DB00071
BE0001123,Carboxypeptidase E,HGNC:2303,DB00071
BE0002124,Neuroendocrine convertase 2,HGNC:8744,DB00071
BE0002125,Neuroendocrine convertase 1,HGNC:8743,DB00071
BE0001147,Protein NOV homolog,HGNC:7885,DB00071
BE0000942,Low-density lipoprotein receptor-related protein 2,HGNC:6694,DB00071
BE0002126,Insulin-like growth factor-binding protein 7,HGNC:5476,DB00071
BE0002127,Synaptotagmin-like protein 4,HGNC:15588,DB00071
BE0000511,Receptor tyrosine-protein kinase erbB-2,HGNC:3430,DB00072
BE0000767,Epidermal growth factor receptor,HGNC:3236,DB00072
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00072
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00072
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00072
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00072
BE0001529,Complement C1s subcomponent,HGNC:1247,DB00072
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00072
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00072
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00072
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00072
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00072
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00072
BE0000066,B-lymphocyte antigen CD20,HGNC:7315,DB00073
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00073
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00073
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00073
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00073
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00073
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00073
BE0001529,Complement C1s subcomponent,HGNC:1247,DB00073
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00073
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00073
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00073
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00073
BE0000658,Interleukin-2 receptor subunit alpha,HGNC:6008,DB00074
BE0000651,Interleukin-2 receptor subunit beta,HGNC:6009,DB00074
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00074
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00074
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00074
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00074
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00074
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00074
BE0001529,Complement C1s subcomponent,HGNC:1247,DB00074
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00074
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00074
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00074
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00074
BE0003456,T-cell surface glycoprotein CD3 delta chain,HGNC:1673,DB00075
BE0000274,T-cell surface glycoprotein CD3 epsilon chain,HGNC:1674,DB00075
BE0003457,T-cell surface glycoprotein CD3 gamma chain,HGNC:1675,DB00075
BE0003458,T-cell surface glycoprotein CD3 zeta chain,HGNC:1677,DB00075
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00075
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00075
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00075
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00075
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00075
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00075
BE0001529,Complement C1s subcomponent,HGNC:1247,DB00075
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00075
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00075
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00075
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00075
BE0004837,Digoxin,,DB00076
BE0000066,B-lymphocyte antigen CD20,HGNC:7315,DB00078
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00078
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00078
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00078
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00078
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00078
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00078
BE0001529,Complement C1s subcomponent,HGNC:1247,DB00078
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00078
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00078
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00078
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00078
BE0004833,Bacterial outer membrane,,DB00080
BE0004832,Lipoteichoic acid synthesis,,DB00080
BE0000066,B-lymphocyte antigen CD20,HGNC:7315,DB00081
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00081
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00081
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00081
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00081
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00081
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00081
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00081
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00081
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00081
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00081
BE0000075,Growth hormone receptor,HGNC:4263,DB00082
BE0000390,Synaptosomal-associated protein 25,HGNC:11132,DB00083
BE0003572,Rho-related GTP-binding protein RhoB,HGNC:668,DB00083
BE0004834,Dietary fat,,DB00085
BE0004835,Dietary protein,,DB00085
BE0004836,Dietary starch,,DB00085
BE0000211,Plasminogen,HGNC:9071,DB00086
BE0000928,Proteinase-activated receptor 1,HGNC:3537,DB00086
BE0000083,CAMPATH-1 antigen,HGNC:1804,DB00087
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00087
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00087
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00087
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00087
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00087
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00087
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00087
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00087
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00087
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00087
BE0004806,Glucocerebroside,,DB00088
BE0000568,Glutamate carboxypeptidase 2,HGNC:3788,DB00089
BE0004822,Iduronic acid,,DB00090
BE0000379,Calcium signal-modulating cyclophilin ligand,HGNC:1471,DB00091
BE0002143,Calcineurin subunit B type 2,HGNC:9318,DB00091
BE0001014,Peptidyl-prolyl cis-trans isomerase A,HGNC:9253,DB00091
BE0001399,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",HGNC:9259,DB00091
BE0000719,T-cell surface antigen CD2,HGNC:1639,DB00092
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00092
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00092
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00092
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00092
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00092
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00092
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00092
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00092
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00092
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00092
BE0000165,Vasopressin V1a receptor,HGNC:895,DB00093
BE0000387,Follicle-stimulating hormone receptor,HGNC:3969,DB00094
BE0000516,Integrin alpha-L,HGNC:6148,DB00095
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00095
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00095
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00095
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00095
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00095
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00095
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00095
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00095
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00095
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00095
BE0000134,Lutropin-choriogonadotropic hormone receptor,HGNC:6585,DB00097
BE0000387,Follicle-stimulating hormone receptor,HGNC:3969,DB00097
BE0000598,T-cell surface glycoprotein CD1a,HGNC:1634,DB00098
BE0003573,Major histocompatibility complex class I-related gene protein,HGNC:4975,DB00098
BE0000516,Integrin alpha-L,HGNC:6148,DB00098
BE0000846,T-lymphocyte activation antigen CD86,HGNC:1705,DB00098
